video_id,video_title,description,channel_id,channel_name,channel_subscriber_count,channel_video_count,published_at,duration_sec,video_format,view_count,like_count,comment_count,video_url,matched_perf_id,matched_title,matched_genre,season_match,substring_hit,quote_hit,venue_match,date_match
HhXGuXiZkaQ,[대전시립연정국악단] &#39;너영나영&#39;,공연명: 풍류마당 수험생을 위한 [힐링 콘서트] ·공연일시: 2024년 12월 1일(금) 오전 11시 ·공연장소: 대전시립연정국악원 큰마당 ...,UCfOgQ8WuHgg-4ezQSJUC24A,대전시립연정국악단,1380,211,2025-02-17T07:56:33Z,223,general,335,3,1,https://www.youtube.com/watch?v=HhXGuXiZkaQ,PF280754,"대전시립연정국악단 풍류마당, 수험생을 위한 힐링콘서트",한국음악(국악),current_season,True,False,True,False
CLHGwXlk_ww,[대전시립연정국악단] ‘매화타령’,공연명: 풍류마당 수험생을 위한 [힐링 콘서트] ·공연일시: 2023년 12월 1일(금) 오전 11시 ·공연장소: 대전시립연정국악원 큰마당 ...,UCfOgQ8WuHgg-4ezQSJUC24A,대전시립연정국악단,1380,211,2024-01-23T05:10:44Z,158,general,604,8,0,https://www.youtube.com/watch?v=CLHGwXlk_ww,PF280754,"대전시립연정국악단 풍류마당, 수험생을 위한 힐링콘서트",한국음악(국악),current_season,True,False,True,False
QuEGsVFd1K4,[대전시립연정국악단] ‘Let me fly’,공연명: 풍류마당 수험생을 위한 [힐링 콘서트] ·공연일시: 2023년 12월 1일(금) 오전 11시 ·공연장소: 대전시립연정국악원 큰마당 ...,UCfOgQ8WuHgg-4ezQSJUC24A,대전시립연정국악단,1380,211,2024-01-23T05:15:20Z,384,general,1085,3,0,https://www.youtube.com/watch?v=QuEGsVFd1K4,PF280754,"대전시립연정국악단 풍류마당, 수험생을 위한 힐링콘서트",한국음악(국악),current_season,True,False,True,False
dwFHkOhHl84,[대전시립연정국악단] &#39;기억의 조각&#39; / 생황 김보리,공연명: 풍류마당 수험생을 위한 [힐링 콘서트] ·공연일시: 2023년 12월 1일(금) 오전 11시 ·공연장소: 대전시립연정국악원 큰마당 ...,UCfOgQ8WuHgg-4ezQSJUC24A,대전시립연정국악단,1380,211,2024-01-23T04:59:41Z,505,general,561,10,0,https://www.youtube.com/watch?v=dwFHkOhHl84,PF280754,"대전시립연정국악단 풍류마당, 수험생을 위한 힐링콘서트",한국음악(국악),current_season,True,False,True,False
0r1hNv5aHa0,얍 판 츠베덴 &amp; 서울시립교향악단 [환희의 송가],하이든의 [신포니아 콘체르탄테]와 베토벤의 마지막 교향곡 제9번 [합창]   국내 최고의 솔리스트와   한국을 대표하는 국립합창단과 ...,UCpXOvE6O8DIttGbQCsSD7jw,고양문화재단,2690,572,2024-12-19T05:18:57Z,27,shorts,115,0,0,https://www.youtube.com/watch?v=0r1hNv5aHa0,PF246232,"얍 판 츠베덴 & 서울시립교향악단, 환희의 송가: 베토벤",서양음악(클래식),current_season,True,False,False,True
PbQD-btJPLQ,광주시립합창단 기획연주회Ⅰ &#39;칭구야~ 노올~자&#39; 공연실황 📹,광주예술의전당 시민기자단 3기 문주헌 [채널구독] https://url.kr/v65ht4 [광주예술의전당] 홈페이지 https://gjart.gwangju.go.kr/cmd ...,UC02x5SS_0-45ZZ13ROGsdtQ,광주예술의전당 Gwangju Arts Center,4420,787,2025-04-28T07:22:35Z,263,general,458,9,0,https://www.youtube.com/watch?v=PbQD-btJPLQ,PF261583,광주시립합창단 기획연주회 Ⅰ. 칭구야~ 노올~자,서양음악(클래식),current_season,True,False,True,True
WnLcYuR7iyo,광주시립합창단이 펼치는 멜로디 전래동화 ‘친구야 노올자’ 공연 리뷰🎶🎵 [광주예술의전당][시민기자단 4기],광주예술의전당 시민기자단 4기 문주헌 #광주예술의전당 #광주시립합창단 #칭구야노올자 #미취학아동을위한음악회 #광주시립 ...,UC02x5SS_0-45ZZ13ROGsdtQ,광주예술의전당 Gwangju Arts Center,4420,787,2026-04-29T07:01:25Z,336,general,206,8,0,https://www.youtube.com/watch?v=WnLcYuR7iyo,PF261583,광주시립합창단 기획연주회 Ⅰ. 칭구야~ 노올~자,서양음악(클래식),current_season,True,False,True,False
muNGASPHmXE,[뉴스데스크]광주시립합창단 첫 공연 준비,(앵커) 얼마 전에 지휘자 내정 문제로 시끄러웠던 광주시립합창단이 새 지휘자와 함께 첫 공연을 준비하고 있습니다. 새 출발하는 시립 ...,UCr0LBUePUC5XnejgV4JmboA,광주MBC뉴스,183000,71369,2014-03-04T12:05:26Z,107,general,3029,6,2,https://www.youtube.com/watch?v=muNGASPHmXE,PF261583,광주시립합창단 기획연주회 Ⅰ. 칭구야~ 노올~자,서양음악(클래식),current_season,True,False,True,False
RF08hccg7ik,251224 국립국악관현악단 - 신뱃놀이(윈터 콘서트),"251224 국립국악관현악단, 서울 페스타 필하모닉 오케스트라 - 신뱃놀이 국립국악관현악단 2025 윈터 콘서트 국립극장 해오름극장 ...",UChGrpfCtIRpQTdBZFYomMvw,치즈 그로밋,37,82,2025-12-25T00:25:45Z,434,general,458,11,0,https://www.youtube.com/watch?v=RF08hccg7ik,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,False,True,True
Zj2Cae7vV98,231216 국립국악관현악단-All I want for christmas is you(2023 윈터 콘서트),231216 국립국악관현악단-All I want for christmas is you 국립국악관현악단 2023 윈터 콘서트 국립극장 하늘극장 #국립국악 ...,UChGrpfCtIRpQTdBZFYomMvw,치즈 그로밋,37,82,2025-02-12T05:57:03Z,62,general,125,4,0,https://www.youtube.com/watch?v=Zj2Cae7vV98,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,False,True,False
eJJgcNDVfTQ,국립국악관현악단 &#39;2025 윈터콘서트&#39;,국립국악관현악단 '2025 윈터콘서트' 2025.12.24.(수) 19:30 국립극장 해오름 공연 예매 바로가기 ...,UC-Yd4HrryydbIx0ctY4gt-g,국립국악관현악단,4470,229,2025-11-25T02:32:30Z,20,shorts,255,,0,https://www.youtube.com/watch?v=eJJgcNDVfTQ,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,False,True,True
Orop0uHDYwY,국악관현악으로 즐기는 크리스마스 콘서트 | 국립국악관현악단 ‘2025 윈터콘서트’,"확장된 스케일, 깊어진 음악, 2018년부터 평균 객석 점유율 99%를 달성한 국립국악관현악단의 윈터 콘서트가 찾아온다. 매년 연말 ...",UCJ55axexMkXqp1Fgwvmdsgg,국립극장 National Theater of Korea,37800,1221,2025-12-02T05:33:10Z,21,shorts,1362,9,0,https://www.youtube.com/watch?v=Orop0uHDYwY,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,False,False,True
XaMEoiW9xLw,"231216 국립국악관현악단, 길병민, 이지혜-All I want for christmas is you(2023 윈터 콘서트)",231216 국립국악관현악단-All I want for christmas is you 국립국악관현악단 2023 윈터 콘서트 국립극장 하늘극장 #국립국악 ...,UChGrpfCtIRpQTdBZFYomMvw,치즈 그로밋,37,82,2025-02-12T06:00:16Z,157,general,84,5,0,https://www.youtube.com/watch?v=XaMEoiW9xLw,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,False,True,False
Ug_PuCgXThk,국립국악관현악단 2021 &#39;윈터 콘서트&#39;,국립국악관현악단 '윈터 콘서트' 2021.12.23.(목)~12.24.(금) 19:30 국립극장 하늘 국립극장 예매 바로 가기 ...,UC-Yd4HrryydbIx0ctY4gt-g,국립국악관현악단,4470,229,2021-12-09T08:28:02Z,21,shorts,583,,0,https://www.youtube.com/watch?v=Ug_PuCgXThk,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,True,True,False
