video_id,comment_id,author,text,like_count,published_at
kNyLkvKnync,Ugy2nB6CwIb5kY8pmmJ4AaABAg,@romanticred5544,뭐가 다른거죠????ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,20,2025-04-18T00:17:23Z
kNyLkvKnync,UgzqUcET3zBTxM8XKDZ4AaABAg,@1CRTMON,"후자가 도입에 박자 더 빠르고 강했고 현악기 길게 킬때 악센트 줬고, 지휘 외적인건 녹음시스템이 더 좋거나 업로드된 음질이 더 좋은 듯",2,2026-05-15T19:36:22Z
kNyLkvKnync,Ugx4gGx68_8i5_FfiFd4AaABAg,@홍책,나도 별 차이 모르겟음,3,2026-02-24T09:26:42Z
QYi4h3V3Fwk,Ugyi0zs7x2LJEY3EkHF4AaABAg,@KBS_Symphony_Orchestra,"[KBS교향악단X정명훈의 Choral 1]
- KBS교향악단 2024 마스터즈 시리즈
 
▶ 일시 및 장소 
2024.03.07.(Thu) 20:00 롯데콘서트홀
 
▶ 출연
지휘 / 정명훈 
소프라노 / 서선영 
메조소프라노 / 방신제 
테너 / 김우경
베이스 / 심기환
합창단 / 연합합창단 - 고양시립합창단, 안양시립합창단, 하남시립합창단

▶ 프로그램
베르디 | 레퀴엠
G. Verdi l Requiem, Op.48
 
▶ 예매방법
인터파크티켓 / 롯데콘서트홀 인터넷을 통한 온라인 예매 혹은 전화 예매",145,2024-02-27T08:59:13Z
QYi4h3V3Fwk,Ugw1CYEt8Upx9QgzMiN4AaABAg,@user-o1c5r,*저작권 관련 문제발생률 0%로 만드는 법*,1954,2024-02-27T09:58:19Z
QYi4h3V3Fwk,UgxTaD7Mc7-7Hk-Fx6B4AaABAg,@곽상헌-i8l,지휘자 씬 볼때마다 터짐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,657,2024-02-27T12:16:15Z
QYi4h3V3Fwk,UgyhttFJAkvZPltaNnp4AaABAg,@39chandaisuki,“수신료의 가치”,1584,2024-02-27T10:51:22Z
QYi4h3V3Fwk,UgzTMe-uZi_F5nSNHZ94AaABAg,@Mr-el1qq,저작권때문에 합성물을 만들지 못한다면.... 내가 방송국에 갈게....!!,375,2024-02-28T11:16:40Z
QYi4h3V3Fwk,UgyaDqY76a_v9FFDSph4AaABAg,@i-wanna-go-home,교양있고 클래식한 채널인줄만 알았는데 이제 젊은이들의 문물을 배워가고 있어..,175,2024-03-21T17:37:31Z
QYi4h3V3Fwk,Ugz2Kl0E4-QOMn63gz94AaABAg,@정인호-e9f,이제 레퀴엠만 들리면 궁예가 생각나는 파블로프의 마구니가 되었습니다,420,2024-05-21T01:31:03Z
