video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes
IE8J-h5K06U,서울시극단 〈퉁소소리〉 하이라이트 | 세종문화회관,"서울시극단  |〈퉁소소리〉 

벌써 이번주 막공!
전 세대를 아우르는 감동적이고도 유쾌한 매력이 흘러넘치는
2025 〈퉁소소리〉 하이라이트🎥
조선시대, 어느 가정이 겪은 파란만장한 대서사시 속으로 초대합니다!

서울시극단
〈퉁소소리〉
2025.9.5(금)-9.28(일)
세종M씨어터

#세종문화회관 #퉁소소리 #서울시극단 #고선웅 #백상예술대상 #연극 #공연 #공연추천

💛세종문화회관 SNS
인스타그램 https://www.instagram.com/sejongcenter
페이스북 https://www.facebook.com/sjcenter
블로그 https://blog.naver.com/sejongnanum",UCCqaPJqI5q1kfO51qWWOjrQ,세종문화회관 Sejong Center,2025-09-24T01:58:22Z,525,8.75,False,519,12,0,https://www.youtube.com/watch?v=IE8J-h5K06U,36000,1010,PF257900,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2025-09-05,2025-09-28,,,
cuJRWJJDQIk,서울시극단 연극 '퉁소소리' 명장면 하이라이트,2024년 11월 11일 프레스콜 현장,UCMM9oBz5_6CVXyR9LDcx3Nw,위드인뉴스,2024-11-11T14:00:31Z,342,5.7,False,364,1,0,https://www.youtube.com/watch?v=cuJRWJJDQIk,4430,2437,PF257900,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2025-09-05,2025-09-28,,,
T2SvowdU-xg,"이건 첫 번째 레슨, 퉁소소리 미리 보기 | 세종문화회관","서울시극단｜퉁소소리

📣 이건 첫 번째 레슨
좋은 건 너만 알지 말기

📣 이제 두 번째 레슨
돌아온 '퉁소소리' 공연 여기저기 소문내기

작년에 피치 못할 사정으로 못 보신 분? 
한 번 보고 N주행 결심하신 분?
아기다리고기다리신 모든 분을 위해 준비한 희소식!✨

“퉁소소리는 아직 끝나지 않았다네.”

🏆 2025 백상예술대상 백상연극상 수상
🚩 조위한 고소설 '최척전' 원작, 고선웅 각색·연출
'퉁소소리' 9월 𝑪𝒐𝒎𝒊𝒏𝒈 𝑺𝒐𝒐𝒏ㅡ

서울시극단
〈퉁소소리〉
2025.9.5(금)-9.28(일)
세종M씨어터

#세종문화회관 #퉁소소리 #서울시극단 #고선웅 #백상예술대상 #연극 #공연 #커밍쑨 #thanku #공연추천

💛세종문화회관 SNS
인스타그램 https://www.instagram.com/sejongcenter
페이스북 https://www.facebook.com/sjcenter
블로그 https://blog.naver.com/sejongnanum",UCCqaPJqI5q1kfO51qWWOjrQ,세종문화회관 Sejong Center,2025-07-25T00:39:30Z,27,0.45,True,79105,691,1,https://www.youtube.com/watch?v=T2SvowdU-xg,36000,1010,PF257900,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2025-09-05,2025-09-28,,,
_nc_s--GnTU,연극 〈퉁소소리〉하이라이트 | 세종문화회관,"서울시극단｜퉁소소리

임진왜란과 정유재란을 겪고
동북아시아를 넘나들며 펼쳐지는
최척 일가의 가슴 아픈 이별과 감동적인 재회

만남과 헤어짐을 반복하면서도
잃지 않는 희망과 끈끈한 가족애를 그린
아름답고도 탄탄한 서사!

고선웅 연출 특유의 재기발랄한 감각과
배우들의 열연이 빛나는
연극 〈퉁소소리〉를 절대 놓치지 마세요✨

서울시극단
〈퉁소소리〉
2024.11.11(월)-11.27(수)
세종M씨어터

#세종문화회관 #서울시극단 #퉁소소리 #고선웅 #이호재 #정새별 #박영민 #조선시대 #서울시극단 #연극 #퉁소소리 #공연 #공연추천

💛세종문화회관 SNS
인스타그램 https://www.instagram.com/sejongcenter
페이스북 https://www.facebook.com/sjcenter
블로그 https://blog.naver.com/sejongnanum",UCCqaPJqI5q1kfO51qWWOjrQ,세종문화회관 Sejong Center,2024-11-13T05:00:32Z,895,14.92,False,4171,47,2,https://www.youtube.com/watch?v=_nc_s--GnTU,36000,1010,PF257900,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2025-09-05,2025-09-28,,,
7nUKCMSiPj8,“살아 있으면 좋은 일이 생긴다” 조선판 블록버스터〈퉁소소리〉 | 세종문화회관,"서울시극단｜퉁소소리

🏆 2025 백상예술대상 백상연극상 수상
🚩 조위한 고소설 '최척전' 원작, 고선웅 각색·연출

다시 돌아온,
조선판 블록버스터 연극

“살아 있으면 좋은 일이 생긴다”

〈퉁소소리〉9월 𝑪𝒐𝒎𝒊𝒏𝒈 𝑺𝒐𝒐𝒏ㅡ

서울시극단
〈퉁소소리〉
2025.9.5(금)-9.28(일)
세종M씨어터

#세종문화회관 #퉁소소리 #서울시극단 #고선웅 #백상예술대상 #연극 #공연 #커밍쑨 #공연추천

💛세종문화회관 SNS
인스타그램 https://www.instagram.com/sejongcenter
페이스북 https://www.facebook.com/sjcenter
블로그 https://blog.naver.com/sejongnanum",UCCqaPJqI5q1kfO51qWWOjrQ,세종문화회관 Sejong Center,2025-08-21T08:53:13Z,36,0.6,True,10464,77,2,https://www.youtube.com/watch?v=7nUKCMSiPj8,36000,1010,PF257900,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2025-09-05,2025-09-28,,,
I3ojWXnLlIQ,연극〈퉁소소리〉 고선웅 연출 키워드 인터뷰 | 세종문화회관,"서울시극단 | 퉁소소리

""괜찮아, 스스로 위로하듯이""

고선웅 연출의 재치 가득한 키워드 인터뷰!
영상으로 만나보세요👏

🚩 조휘안 고소설 '최척전' 원작, 고선웅 각색·연출
〈퉁소소리〉 오늘 개막!

서울시극단
〈퉁소소리〉
2024.11.11(월)-11.27(수)
세종M씨어터

#세종문화회관 #퉁소소리 #서울시극단 #고선웅 #이호재 #정새별 #박영민 #장연익 #강신구 #김신기 #류주연 #오현우 #최나라 #이원희 #전재형 #박장면 #이승우 #민경석 #윤준호 #김용준 #최아론 #최민혁 #박예리 #이석중 #연극 #공연 #공연추천

💛세종문화회관 SNS
인스타그램 https://www.instagram.com/sejongcenter
페이스북 https://www.facebook.com/sjcenter
블로그 https://blog.naver.com/sejongnanum",UCCqaPJqI5q1kfO51qWWOjrQ,세종문화회관 Sejong Center,2024-11-11T02:08:36Z,116,1.93,False,4891,48,2,https://www.youtube.com/watch?v=I3ojWXnLlIQ,36000,1010,PF257900,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2025-09-05,2025-09-28,,,
ExptiDcmNj8,241127 서울시극단 퉁소소리 초연막공 커튼콜,,UCxanIX3psX1tDT6ny96yLsw,크림맘,2024-12-02T17:35:18Z,40,0.67,True,28,0,0,https://www.youtube.com/watch?v=ExptiDcmNj8,9730,399,PF257900,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2025-09-05,2025-09-28,,,
gvYkYz2KSq0,연극 〈퉁소소리〉 연습현장 스케치📷 | 세종문화회관,"서울시극단｜퉁소소리

연극 〈퉁소소리〉 연습현장 스케치📷

평범한 민초, 해적장, 후금의 장수 등
다채로운 연기로 관객들을 울고 웃게 만들
배우들의 열연을 영상으로 만나보세요!

📜 조선, 최척이 들려주는 이야기

최척은 옥영과 혼인을 언약하지만 임진왜란이 일어나자 의병으로 참전하면서 헤어진다.
우여곡적을 겪고 혼례하여 아이를 낳는다.
다시 정유재란이 일어나고 최척은 식량을 구하러 가면서 가족과 헤어진다.
최척은 중국 배를 타고 떠돌고, 옥영은 일본 배를 타고 떠돌다 베트남 항구에서 기적처럼 만난다.
하지만 또 다시 반란이 일어나고 최척과 옥영은 긴 이별을 하는데...

서울시극단
〈퉁소소리〉
2024.11.11(월)-11.27(수)
세종M씨어터

#세종문화회관 #서울시극단 #퉁소소리 #고선웅 #이호재 #정새별 #박영민 #장연익 #강신구 #김신기 #류주연 #오현우 #최나라 #이원희 #전재형 #박장면 #이승우 #민경석 #윤준호 #김용준 #최아론 #최민혁 #박예리 #이석중 #서울시극단 #연극 #퉁소소리 #연습실


💛세종문화회관 SNS
인스타그램 https://www.instagram.com/sejongcenter
페이스북 https://www.facebook.com/sjcenter
블로그 https://blog.naver.com/sejongnanum",UCCqaPJqI5q1kfO51qWWOjrQ,세종문화회관 Sejong Center,2024-11-01T07:15:03Z,689,11.48,False,1679,23,6,https://www.youtube.com/watch?v=gvYkYz2KSq0,36000,1010,PF257900,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2025-09-05,2025-09-28,,,
0Urh71nytpk,"조선시대, 어느 가정의 파란만장한 대서사시 연극《퉁소소리》| 세종문화회관","서울시극단｜연극 《퉁소소리》

연극《퉁소소리》 #TEASER
노최척 이호재 배우의 티저 영상🎬

""이제는 다 늙어버린 최척이올시다. 
끝없이 사지를 넘나들고 이별하다 결국 재회하는
우리 가족의 이야기를 들어보시지요.""

조선시대, 어느 가정의 파란만장한 대서사시를
영상으로 먼저 만나보세요! 

서울시극단 
연극 《퉁소소리》
2024.11.11(월)-11.27(수)
세종M씨어터

#고선웅 #이호재 #정새별 #박영민 #장연익 #강신구 #김신기 #류주연 #오현우 #최나라 #이원희 #전재형 #박장면 #이승우 #민경석 #윤준호 #김용준 #최아론 #최민혁 #박예리 #이석중 

💛세종문화회관 SNS
인스타그램 https://www.instagram.com/sejongcenter
페이스북 https://www.facebook.com/sjcenter
블로그 https://blog.naver.com/sejongnanum",UCCqaPJqI5q1kfO51qWWOjrQ,세종문화회관 Sejong Center,2024-10-14T02:30:00Z,33,0.55,True,1969,11,3,https://www.youtube.com/watch?v=0Urh71nytpk,36000,1010,PF257900,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2025-09-05,2025-09-28,,,
VjodPkTivGM,서울시극단 연극 퉁소소리 - 옥영과 최척의 재회,,UCMM9oBz5_6CVXyR9LDcx3Nw,위드인뉴스,2024-11-11T14:13:35Z,60,1.0,True,620,7,1,https://www.youtube.com/watch?v=VjodPkTivGM,4430,2437,PF257900,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2025-09-05,2025-09-28,,,
