video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,date_signal,venue_signal,hashtag_categories,is_condensed_official,explicit_title_quote_match,signal_score,suggested_status,flag_reason
_tW8aHnuJkE,드보르작 신세계  (서울내셔널심포니오케스트라),"Big 3 교향곡 감동
드보르작 ""신세계""
서울내셔널심포니오케스트라
지휘/ 장동진
2011. 10. 1(토) 오후 7시, 한전아트센터",UCabLDoCyz9-S9KciL6MWq5g,snkwon,2020-09-29T12:19:35Z,2668,44.47,False,217,2,0,https://www.youtube.com/watch?v=_tW8aHnuJkE,12900,300,PF232740,"국립심포니오케스트라: 음악의 얼굴 드보르자크, 교향곡 7번",서양음악(클래식),예술의전당 [서울] 콘서트홀,2024-07-21,2024-07-21,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
Ea46NgsVWQc,"정동원 유명배우 다 제쳤다! ""영화대상 1위 확실시"" 화력 진짜 미쳤네. 이정도였어!? 10월 네티즌어워즈 단독 1위 질주! 미스터트롯 정동원 영화 뉴노멀 노래모음 독백","정동원 영화 조인성 김혜수 등 유명배우 작품 제치고 영화대상 1위!

#정동원#정동원뉴노멀영화#정동원영화#정동원연기#정동원불후의명곡#정동원당연한것들#정동원독백#미스터트롯정동원#정동원신곡#정동원발라드#미스터트롯#정동원노래모음#눈물비정동원#여백정동원#뱃놀이정동원#미스터트롯탑7#탑6#임영웅#영탁#장민호#김호중#미스터트롯2#불타는트롯맨",UCnwfIxJXwoNRiyON6CzP1mg,만수네TV,2023-10-27T04:55:32Z,195,3.25,False,6306,659,46,https://www.youtube.com/watch?v=Ea46NgsVWQc,41900,444,PF243856,BIFAN 전야제 영화음악 콘서트,서양음악(클래식),부천아트센터 콘서트홀,2024-07-03,2024-07-03,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
GkX5hz70QkI,"190921 벤허 커튼콜 (박은태, 박민성, 린아, 이병준, 서지영, 이지훈)",,UCkhRFRVUfKRrw1gs1rD7GBg,Mid Air,2019-09-21T13:06:41Z,397,6.62,False,56475,598,20,https://www.youtube.com/watch?v=GkX5hz70QkI,1380,34,PF243856,BIFAN 전야제 영화음악 콘서트,서양음악(클래식),부천아트센터 콘서트홀,2024-07-03,2024-07-03,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
r31-OsJtWho,190922 7시 벤허 커튼콜 카벤 살아야해,,UCWvDuAJIgZL8h2IQgfNk4Ig,아기상어뚜루루,2019-09-22T13:34:13Z,23,0.38,True,19601,339,6,https://www.youtube.com/watch?v=r31-OsJtWho,4,7,PF243856,BIFAN 전야제 영화음악 콘서트,서양음악(클래식),부천아트센터 콘서트홀,2024-07-03,2024-07-03,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
JLKIs610bHY,"231014 뮤지컬 벤허 커튼콜(박은태, 이지훈, 최지혜)",,UC5u9zdwzn9xTzDc9Fgt0okQ,커튼콜러,2023-10-14T08:02:49Z,366,6.1,False,19736,438,22,https://www.youtube.com/watch?v=JLKIs610bHY,1430,404,PF243856,BIFAN 전야제 영화음악 콘서트,서양음악(클래식),부천아트센터 콘서트홀,2024-07-03,2024-07-03,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
HIOkepE8kQE,뮤지컬 벤허 홍경수 배우님 커튼콜 231012,,UCxv3wHqz2bR2KbUqxYNJOyg,MIRACULUM,2023-10-13T16:38:25Z,13,0.22,True,2595,33,0,https://www.youtube.com/watch?v=HIOkepE8kQE,264,173,PF243856,BIFAN 전야제 영화음악 콘서트,서양음악(클래식),부천아트센터 콘서트홀,2024-07-03,2024-07-03,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
qgeHB26cG9c,뮤지컬 벤허 커튼콜 규현 '살아있으니까',"231015 뮤지컬 벤허 BEN-HUR 커튼콜데이
살아있으니까

벤허 | #규현 Kyuhyun

#뮤지컬 #벤허",UCEjdtPNI1iNmK3_u7Xor7Dw,MintGray 민트그레이,2023-10-15T13:33:54Z,46,0.77,True,144424,3139,161,https://www.youtube.com/watch?v=qgeHB26cG9c,5730,400,PF243856,BIFAN 전야제 영화음악 콘서트,서양음악(클래식),부천아트센터 콘서트홀,2024-07-03,2024-07-03,,,,none,none,1,False,False,1,no_strong_signal,신호 없음
AXX_0UHbBMk,2023.10.15 뮤지컬 벤허 커튼콜 (컷콜데이) - 규현 서경수 윤공주 이정열 한지연 장혜린 문성혁 김대종 공동환 이도헌,,UCm6TDcj8kLGDQiVbSLARfGg,커튼콜 수집가,2023-10-15T12:11:00Z,358,5.97,False,8238,187,4,https://www.youtube.com/watch?v=AXX_0UHbBMk,7130,1931,PF243856,BIFAN 전야제 영화음악 콘서트,서양음악(클래식),부천아트센터 콘서트홀,2024-07-03,2024-07-03,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
2SR8FGNLCyc,신성록 - 살아있으니까 / 231011 벤허 커튼콜,"* 영상 로고 크롭 및 2차가공, 재업로드 금지 
(Logo crop and video movement, re-upload are prohibited)
*이유없는 비방, 성희롱, 홍보성 스팸 댓글등 무통보 삭제, 차단될 수 있습니다.

231011 뮤지컬 벤허 낮공 커튼콜 데이 / 신성록 살아있으니까",UCTHcnT4LIbdptxxTTWLukEQ,MIJENG,2023-10-11T14:20:06Z,44,0.73,True,7077,226,0,https://www.youtube.com/watch?v=2SR8FGNLCyc,2970,990,PF243856,BIFAN 전야제 영화음악 콘서트,서양음악(클래식),부천아트센터 콘서트홀,2024-07-03,2024-07-03,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
vgaDefIccqQ,"2023.10.14 19:00 뮤지컬 벤허 커튼콜 4K  (신성록, 박민성, 최지혜)","2023.10.14 19:00 뮤지컬 벤허 커튼콜 4K  (신성록, 박민성, 최지혜)

1층 7열 15번

관극 기록은 인스타에~

#스냅 #뮤지컬스타그램 #musical #사진스타그램 #뮤지컬추천 #벤허 #뮤지컬벤허 #커튼콜 #벤허커튼콜 #benhur",UCX-1WOdpINCBkSCKfAC8Ujg,헛소망,2023-10-14T13:14:36Z,381,6.35,False,437,1,1,https://www.youtube.com/watch?v=vgaDefIccqQ,1110,1217,PF243856,BIFAN 전야제 영화음악 콘서트,서양음악(클래식),부천아트센터 콘서트홀,2024-07-03,2024-07-03,,,,mismatch,none,2,False,False,0,no_strong_signal,날짜 불일치(다른 회차 가능성); 해시태그 2개 카테고리 일치
