video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,date_signal,venue_signal,hashtag_categories,is_condensed_official,explicit_title_quote_match,signal_score,suggested_status,flag_reason
OVoiKAsxTkE,명절연휴 친정집! 족발보쌈 시켜먹기 춘천족발맛집 맛짱 #귀한족발춘천우두점#shorts,,UCsOcN7H9TaRgoRQhg110fnA,뚝딱 주는사랑 DIY,2023-01-22T12:33:38Z,25,0.42,True,1802,16,0,https://www.youtube.com/watch?v=OVoiKAsxTkE,699,649,PF260159,꽃의 비밀 [춘천],연극,춘천문화예술회관 공연장,2025-07-25,2025-07-26,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
fZ5oA-ZKsFI,저주하면 돈을 주는 책을 갖게된 얼빠 여자 #shorts,#웹툰 #웹툰추천 #네이버웹툰 #리뷰 #추천 #연애 #로맨스,UC-z67PY02OFNxaQPNFXCjpg,개띵작 웹툰 탐정,2024-12-22T10:17:32Z,53,0.88,True,876104,20255,101,https://www.youtube.com/watch?v=fZ5oA-ZKsFI,5360,68,PF260159,꽃의 비밀 [춘천],연극,춘천문화예술회관 공연장,2025-07-25,2025-07-26,,,,none,none,0,False,False,-3,delete_candidate,무관 해시태그 발견
S8-XT7Ockbw,친구가 제 생일선물은 필요없대요... #구독자사연 #shorts,친구가 제 생일선물은 필요없대요...,UCmjjgsm51PYMPf5REDylbSA,김켈리 Kellyfornia,2024-12-13T09:40:00Z,34,0.57,True,1048931,31335,519,https://www.youtube.com/watch?v=S8-XT7Ockbw,1290000,4853,PF260159,꽃의 비밀 [춘천],연극,춘천문화예술회관 공연장,2025-07-25,2025-07-26,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
8N3nFVV1tXc,알로에 99.9의 비밀,스윗중남이 엄선한 #shorts 를 매일매일 올립니다! 구독&좋아요는 큰 힘이 됩니다 :D,UCdkwW1nmvEw2kO_ax-EOgUg,스윗중쇼츠,2021-07-24T16:29:00Z,8,0.13,True,723,4,0,https://www.youtube.com/watch?v=8N3nFVV1tXc,271,100,PF260159,꽃의 비밀 [춘천],연극,춘천문화예술회관 공연장,2025-07-25,2025-07-26,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
tPGD0THDozM,유죄인간 이재훈 #쿨 #쿨이재훈 #이재훈 #설렘사 #shorts,"인스타에 가면 긴버전으로 있습니당
망할 쇼츠 60초 제한 ㅜㅜ",UCNAyMjbV6UGI2j2bWwd3mpA,해여훈,2024-11-17T01:15:42Z,56,0.93,True,6444199,68387,1278,https://www.youtube.com/watch?v=tPGD0THDozM,8290,166,PF260159,꽃의 비밀 [춘천],연극,춘천문화예술회관 공연장,2025-07-25,2025-07-26,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
1QYYOC9MbnY,요즘 MZ들이 돈쓸어담는 부업 아이템 40가지 #퇴사 #부업 #자기계발,"돈버는 아이템에 국경이 있겠습니까?
집요하게 해외 레퍼런스까지 찾아서 손수 정리했다구😗

세상에 이렇게 돈 벌 수 있는 아이템들이 많다는 걸
직장인일때 알았더라면 나 더 빨리 퇴사했다 …

’요즘 MZ들이 돈 쓸어담는 부업아이템 40가지’
(근데 계속 찾아서 추가하다보니 51개가 되어버린..)
자료집 보내줄게!

✅✅  해당 자료는 아래 인스타그램 링크에서 받을 수 있어요! ✅ ✅ 
(유튜브는 자료를 바로 보내드리는 기능이 없어서요 흑흑😢)
https://www.instagram.com/reel/DI--T1WvnDV/?igsh=bzk0Ym5ycDJ0dnpp


1️⃣ 계정 팔로우
2️⃣ 게시글 저장
3️⃣ 아무 댓글(이왕이면 사랑이 담긴..❤️)
남겨주면 DM으로 자료집 바로 전송되지롱

난 뭐든지 효율적으로 일하는 걸 좋아해서
DM도 자동화 해놨거든!
만약 자료집을 못 받았다! 하는 그대들은
1️⃣ 2️⃣ 3️⃣ 제대로 했는지 확인해주기 - 💕",UCtGGJ22a28_1MaHTSt4BTYw,차밍슬,2025-04-08T01:11:51Z,16,0.27,True,732934,4092,697,https://www.youtube.com/watch?v=1QYYOC9MbnY,5510,38,PF260159,꽃의 비밀 [춘천],연극,춘천문화예술회관 공연장,2025-07-25,2025-07-26,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
eTHOngVKONA,"정체 모른 채 신점 본 무당, 박나래 사주에 멈칫","이름없이 선생님께 생년월일만 알려준 후 신점 본 무당, 박나래 사주에 멈칫한 이유라는데요",UCpaaSzIfb0GcgXd6TRcPIuA,꿈꾸는명언러,2025-06-27T23:22:00Z,50,0.83,True,1339243,8461,258,https://www.youtube.com/watch?v=eTHOngVKONA,26900,248,PF260159,꽃의 비밀 [춘천],연극,춘천문화예술회관 공연장,2025-07-25,2025-07-26,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
cRwnxCC5BWg,올 여름 인생 캠핑장을 찾았다 숲 속 계곡 데크 메타세콰이어,,UCwWkEaOu7AYUQZawCecLkeQ,호캠프,2025-08-11T02:45:25Z,17,0.28,True,229818,550,55,https://www.youtube.com/watch?v=cRwnxCC5BWg,34800,675,PF260159,꽃의 비밀 [춘천],연극,춘천문화예술회관 공연장,2025-07-25,2025-07-26,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
gkpkAxKmGN8,빵집 사장도 안 먹는 빵?! 절대 사면 안 되는 최악의 빵 4가지!,"📌 [정답 자막]

1. 단팥빵 – 중국산 팥 앙금 + 고당도 + 트랜스지방


2. 소보로빵 – 마가린·쇼트닝 가득한 첨가물 덩어리


3. 야채피자빵 – 남은 재료 재활용 + 중국산 냉동 토핑


4. 찹쌀빵 – 중국산 찹쌀가루 + 당도 높고 쉽게 상함




---

📎 [설명란 & 고정댓글]

이런 빵은 조심하세요!

1. 단팥빵 – 중국산 팥 앙금이 주로 사용되고, 당분과 트랜스지방(발암물질)이 높습니다.


2. 소보로빵 – 마가린, 쇼트닝 등 몸에 해로운 첨가물이 듬뿍 들어갑니다.


3. 야채피자빵 – 남은 재료를 재활용하거나 중국산 냉동 토핑을 쓰는 경우 많습니다.


4. 찹쌀빵 – 중국산 찹쌀가루 사용률 높고, 당도 높아 쉽게 상할 수 있어요.



싸다고 다 좋은 게 아닙니다.
건강바라 구독하시고, 매일 젊어지는 건강 꿀팁 받아가세요!",UCt9ZuUXBHHP9x95YA4Ccqfg,주주바라,2025-08-01T23:00:42Z,16,0.27,True,6108187,58302,467,https://www.youtube.com/watch?v=gkpkAxKmGN8,79400,171,PF260159,꽃의 비밀 [춘천],연극,춘천문화예술회관 공연장,2025-07-25,2025-07-26,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
ZdX3-ZwzSd0,연극 가족의 탄생 홍보영상,연극 가족의 탄생 홍보영상,UCHiNkJWXKk2BqZYQdZiAYOg,타임티켓,2016-09-13T18:41:05Z,21,0.35,True,319,1,0,https://www.youtube.com/watch?v=ZdX3-ZwzSd0,18,96,PF260159,꽃의 비밀 [춘천],연극,춘천문화예술회관 공연장,2025-07-25,2025-07-26,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
