video_id,comment_id,author,text,like_count,published_at
HG0twgDGmAs,Ugx0QxyRfwAm0k_eG5R4AaABAg,@제임스류175,뮤지컬보듯한 최고의 뮤지션단원 지휘자님~감사합니다 🙏 🙏 🙏,2,2020-11-27T16:08:47Z
HG0twgDGmAs,UgzM6cyIH6mlGV79X314AaABAg,@WalkviewKr,감사합니다^^,0,2020-11-03T13:23:27Z
HG0twgDGmAs,UgxGdiQbXlyTXQ57HGt4AaABAg,@tv-bp6vt,감사합니다 ~~^^,0,2020-03-21T08:42:31Z
HG0twgDGmAs,Ugxx1HsLBvnA18p-83V4AaABAg,@김영문-e2q,"존경합니다. 박신화교수님은 안산에서 신화를 쓰셨습니다, 이보다 더한 일을 누가 감당하려는지, ????",4,2021-07-20T06:53:56Z
HG0twgDGmAs,UgxcN_u42tE-9Cl0jah4AaABAg,@tv-bp6vt,운전할때는 항상 듣고있습니다~~^^,0,2020-03-21T08:44:09Z
HG0twgDGmAs,UgzGq5fP2wcTSpf2AqJ4AaABAg,@tv-bp6vt,저도 기독교인 입니다 ~~^^,0,2020-03-21T08:43:14Z
HG0twgDGmAs,UgzyYFJDn0gX1NiOlDd4AaABAg,@장태영-b4c,"국립, 시립합창단에서 찬불가를 안불러도 불교계에서 항의를 안하는 게 참 다행이다 라는 생각 해봅니다.",0,2026-05-30T07:54:55Z
HG0twgDGmAs,UgwRgZ3l-0FH_GekvyF4AaABAg,@동화할머니,박신화지휘자님이 그립습니다,0,2020-10-21T23:59:11Z
HG0twgDGmAs,Ugxq60AAL2LrXU1QvXt4AaABAg,@동화할머니,"이런 영상이 있어 얼마나 감사한지
듣고또듣고 보고또보게됩니다
감사합니다",2,2020-10-22T00:22:47Z
yO7ev3urVFw,UgzIi4yWGhNgHB025R54AaABAg,@kchoralstream,"☑ 본 채널은 해당 음악의 저작권 소유자 및 관리자가 아니므로 영상 및 광고를 통해 수익 창출을 할 수 없습니다.
☑ 유튜브 알고리즘에 의해 자동으로 광고가 발생 될 수 있으며, 광고로 인한 수익은 저작권자에게 돌아갑니다.

☑ I personally do not make any financial profit from this channel and videos.
☑ According to Youtube copyright policy, All ads are determined by copyrights holder.

1:20:50 광고 스킵 / Ads skip

0:00 참 좋으신 주님 (중앙성가 10 수록)

3:27 찬양의 심포니 (중앙성가 21 수록)

8:08 주 날 인도하시네 (중앙성가 11 수록)

12:58 내 삶의 주인 (중앙성가 39 수록)

16:47 시편 8편 (여호와 우리 주여) (중앙성가 11 수록)

21:01 아름다운 세상 주신 주께 (중앙성가 8 수록)

24:54 주의 사랑 안에서 (중앙성가 6 수록)

28:42 주여 나의 손을 놓지 마소서 (중앙성가 35 수록)

32:35 믿음 안에서 하나 (중앙성가 28 수록)

36:13 주를 앙모하는 자 (중앙성가 35 수록)

39:26 영원부터 영원까지 (중앙성가 6 수록)

44:13 목마른 사슴이 (중앙성가 10 수록)


47:46 복 있는 사람 (중앙성가 27 수록)

52:06 내 주는 강한 성이요 (중앙성가 10 수록)

56:32 나는 예수님이 정말로 좋아요 (중앙성가 23 수록)

59:25 주 함께 살리라 (중앙성가 28 수록)

1:03:22 축복하노라 (중앙성가 21 수록)

1:07:21 이제야 돌아봅니다 (중앙성가 28 수록)

1:11:01 거룩한 주 (중앙성가 3 수록)

1:15:43 주님 나라 이루게 하소서 (중앙성가 31 수록)",57,2021-12-24T22:15:05Z
