video_id,comment_id,author,text,like_count,published_at
qBMyfzqmn4I,Ugx7AOnZlrRKjBenDpZ4AaABAg,@호천TV,영상 시작 부분에  핸드 헬드 촬영이라 다소 흔들림이 있습니다,54,2026-01-21T00:11:03Z
qBMyfzqmn4I,Ugwh_HRqtpV4wuTh-N94AaABAg,@단풍잎캐나다,신년 음악회 ❤ 예쁜 전유진 최고 👍 💕 ❤❤2026년 화이팅🎉 자랑스럽네요🎉 새로운 단독 콘서트를 보는거 같네요❤,55,2026-01-21T00:02:50Z
qBMyfzqmn4I,Ugy-rugs2uZlNDQ8OsR4AaABAg,@좋은나라-q4s,"수고하셨습니다.
귀한 영상 게시 감사드립니다.
전유진님 이제는 음악프로 MC봐도 될 듯합니다.
현장 분위기가 단독콘서트장 같씁니다.",36,2026-01-21T03:22:06Z
qBMyfzqmn4I,UgzhF52ZTcnpcsJxgb14AaABAg,@폭풍전야ko,"라이브 가수중  최고봉 전유진 
전유진 가수 늘 응원하고 있습니다",55,2026-01-21T00:06:05Z
qBMyfzqmn4I,Ugzcbuc-jbbEtLeXTJN4AaABAg,@양해진-q9c,"포항에서 더욱 빛났다. 가족 같은 분위기로 
맘 편히 들려주는 노래들 진행도 스스럼 없이 잘하며 
유진 맘이 편해진 것 같아 보기 좋았다. 
고향을 빛낸 인물 중 한 사람이기에 더욱 뜻 깊었을 거다.
어쨌든 축하한다. 사랑 응원!!!!!!❤",49,2026-01-21T01:13:46Z
qBMyfzqmn4I,Ugz2DzWvpQXH8DsEyKN4AaABAg,@뉴라이즈Y포항,"전유진 가수님께서 신곡인 '하루만 나의 꿈 속에 다녀가세요'를 
듣자마자 눈물을 흘린 제 모습을 봐주시고, 감사했어요.",33,2026-01-21T04:46:25Z
qBMyfzqmn4I,UgzjrVpVE7VPBFiFJJJ4AaABAg,@세영김-w9m,가수전유진참이쁘게노래도잘히네요😊😊,31,2026-01-21T04:11:17Z
qBMyfzqmn4I,Ugx8sFAFV4T9JBOovF54AaABAg,@하히히-q7z,유진이는항상내마음의별이돼었내요.너무감사해요🤩🤩🤩🤩🤩,37,2026-01-21T01:58:18Z
qBMyfzqmn4I,Ugx0AX0CZfnmgoAlRAF4AaABAg,@aasound0217,"참 잘하고 자랑스러워요.  멋지고 예쁘고  어쩜 이럴 수가 있을까요? 전유진 양입니다, 항상 응원해요, 전유진 화잇탕 !!",14,2026-01-23T06:26:27Z
qBMyfzqmn4I,UgzqHn3isuBGroQK7H14AaABAg,@el_qui_ness,"전유진 트롯디바 응원합니다 
포항 신년음악회 가고 싶었는데 
표구하기가 참 하늘의 별따기라 아쉽 ㅋㅋㅋ",9,2026-02-08T06:38:08Z
qBMyfzqmn4I,UgxXInTCK7pW25xgqaJ4AaABAg,@김윤태-e5d,하늘이 내린 노래하는 여신 천사 초대 현역가왕 우승자 #전유진 가수님 함께 응원합니다 🎵,27,2026-01-21T05:40:38Z
qBMyfzqmn4I,UgyBo94OHWSD6iTMSpB4AaABAg,@user-hxn6ng3te5zq,"최고의 가수, 최고의 무대
귀한 영상 감사합니다.~~",38,2026-01-21T01:53:14Z
qBMyfzqmn4I,Ugylhwac3yq-JKX8JLN4AaABAg,@김태권-e1n,"이쁘 지 않은 곳이 없는 유진양  
이쁘 고 노래도  잘하고  체격도 타고 난쓰요  
🎉🎉🎉🎉🎉🎉🎉",21,2026-01-22T08:16:53Z
qBMyfzqmn4I,Ugw3p39nlcmlqLpExDl4AaABAg,@윈주-g8s,"영상 감사합니다
시청잘했습니다
몇번을반복시청할것같습니다",35,2026-01-21T02:03:01Z
qBMyfzqmn4I,Ugw2lm1XZJJuoKopEIZ4AaABAg,@Gpmsekp,최고의 가수 전유진 응원해요,33,2026-01-21T04:50:51Z
qBMyfzqmn4I,Ugwzqm1AlQM9y-3EY2B4AaABAg,@WOOSUNGLEE-m4j,"너ㅡㅡㅡ무 감사합니다
영상에 뽀뽀 까지 했어요
#전유진 가수 항상 응원합니다",29,2026-01-21T03:46:07Z
