video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes
nzmZCG_LyxI,"연극 ‘햄릿’ | ""그대의 이름은 무엇인가?"" 캐릭터 영상🎬","👑

그대의 이름은 무엇인가🎬

𝐂𝐇𝐀𝐑𝐀𝐂𝐓𝐄𝐑 𝐓𝐑𝐀𝐈𝐋𝐄𝐑

햄릿役 #이봉련

클로디어스役 #김수현

거트루드役 #성여진

폴로니어스役 #김용준

오필리어役 #류원준

-
📍국립극단 '햄릿'

✔️ 대학생 및 청소년 40%

✔️ 재관람 30%

✔️ 삼삼오오 30%

✔️ 문화릴레이티켓 20%

-
'햄릿'

원작 윌리엄 셰익스피어 | 각색 정진새 | 윤색·연출 부새롬

출연 김별 김수현 김용준 김유민 김정화 노기용
류원준 성여진 신정원 안창현 이봉련 이승헌 허이레

2024년 7월 5일 - 7월 29일

국립극단 명동예술극장

-
#국립극단 #연극 #햄릿 #명동예술극장",UC-2Nn7WrZJkx1m-g_Y0Gf2Q,국립극단,2024-06-14T08:22:27Z,222,3.7,False,9294,228,13,https://www.youtube.com/watch?v=nzmZCG_LyxI,24700,811,PF242516,"국립극단, 햄릿",연극,국립극단 [명동] 명동예술극장,2024-07-05,2024-07-29,,,
bklZ-4VNLok,제발 연기 좀 살살해주세요 ㄷㄷㄷ│#연극 #햄릿,,UCpqoyoSrB7rFOjdBZdr3h7A,SEENSEE COMPANY,2024-06-07T02:01:55Z,43,0.72,True,218920,4693,23,https://www.youtube.com/watch?v=bklZ-4VNLok,31200,1121,PF242516,"국립극단, 햄릿",연극,국립극단 [명동] 명동예술극장,2024-07-05,2024-07-29,,,
KJSB68w8nak,[국립극단 온라인 극장] '햄릿' (음성해설),"📢 #온라인극장 #신작공개

💌2025 온라인 극장 신작
#매진신화의_역사_국립극단_햄릿_⚔️

-
🎥'햄릿'
400여 년을 지나온 불멸의 명작!
관객이 만날 가장 현대적인 '햄릿' 👑

“내 연극은 아직 끝나지 않았어! 나는 다시 무대에 오른다.”

✔3월 17일(월) 오후 2시
지금 바로 온라인 극장에서 관람 가능!

✔영상옵션
▪️기본
▪️수어통역
▪️음성해설

-
🎫신작 할인
▪️정가 9,900원▶6,600원
▪️~3월 23일(일)까지
▪️상세페이지▶구매하기▶할인적용

🎫신규가입 시 20% 할인쿠폰 제공

🏠자세한 온라인 극장 이용방법 FAQ 및 상세페이지 확인

-
국립극단 온라인 극장
🔗on.ntck.or.kr

#국립극단 #연극 #국립극단온라인극장 #연극OTT #온라인공연 #햄릿",UC-2Nn7WrZJkx1m-g_Y0Gf2Q,국립극단,2025-03-17T05:01:17Z,16,0.27,True,4898,88,1,https://www.youtube.com/watch?v=KJSB68w8nak,24700,811,PF242516,"국립극단, 햄릿",연극,국립극단 [명동] 명동예술극장,2024-07-05,2024-07-29,,,
S8ovcwh7ahg,연극 [햄릿] 2025년 세종문화회관,출처: 세종문화회관 서울시극단 17기 시민연극단,UChsid8JoolwyOEgDsm-BdwQ,예술숲고요,2025-12-26T08:25:39Z,5016,83.6,False,887,15,0,https://www.youtube.com/watch?v=S8ovcwh7ahg,113,30,PF242516,"국립극단, 햄릿",연극,국립극단 [명동] 명동예술극장,2024-07-05,2024-07-29,,,
qUxn4Bizj6s,[국립극단 온라인 극장] 연극 '햄릿' 미리보기 - 다중시점,"[국립극단 온라인 극장] 연극 '햄릿' 미리보기 - 다중시점

■ 공연소개

“착한 공주는 할 수 있는 게 없지만, 악한 공주는 뭐든지 할 수 있지.”

'조씨고아, 복수의 씨앗'에 이어 관객이 뽑은 [국립극단에서 가장 보고 싶은 연극]에 선정된 '햄릿'이 온라인 극장에 오른다. 배우라면 누구나 꿈꾸는 ‘햄릿’은 천의 얼굴을 가진 배우 이봉련이 맡아 복수의 칼을 겨눈다. 은밀하고도 과감하게 드러내는 광기는 무대를 압도하며 객석을 휘젓고, 진실을 파헤치려는 자와 묻어두려는 자가 살기 위해 선택할 수밖에 없었던 운명은 끝없이 추락한다. ‘사느냐, 죽느냐’ 휘몰아치는 폭풍우가 지나가고 참혹한 현실을 마주하는 순간, 당신은 긴 꿈에서 깨어나게 될 것이다. 

_
[국립극단 온라인 극장] 연극 '햄릿'
2/25(목) 19:30 다중시점
2/26(금) 19:30 단일시점(카메라 1대 고정)
2/27(토) 15:00 다중시점
2/27(토) 19:30 단일시점(카메라 1대 고정)
* 전 회차 국문자막이 제공됩니다.  

✔️예약 및 후원하기 http://www.ntck.or.kr/ko/performance/info/257006

#연극 #온라인극장 #햄릿 #국립극단",UC-2Nn7WrZJkx1m-g_Y0Gf2Q,국립극단,2021-02-15T06:04:34Z,182,3.03,False,20597,335,23,https://www.youtube.com/watch?v=qUxn4Bizj6s,24700,811,PF242516,"국립극단, 햄릿",연극,국립극단 [명동] 명동예술극장,2024-07-05,2024-07-29,,,
Rrt5t03SbSI,[대사 좀 맞춰줄래?] 연극 '햄릿' 배우 이봉련 편,"🎥 #대사좀맞춰줄래 #대좀맞

연극 '햄릿'｜배우 #이봉련 (햄릿役) 편
오늘은 여러분이 상대 배우 #클로디어스 가 되어 대사를 맞춰보세요! 💬

""말해. 당신이 했다고 말해.""

#2024년_국립극단_햄릿_잊지않으셨죠_❔
#온라인극장에_모셔왔습니다_🫥

-
여전히 햄릿앓이 중이신 사람을 위한 TIP 🤍

온라인 극장 '햄릿' 𝙘𝙤𝙢𝙞𝙣𝙜 𝙨𝙤𝙤𝙣

➊ '햄릿' 국립극단 온라인 극장에서 【곧】 관람 가능!

➋ 영상옵션
▪️기본
▪️배리어프리-수어통역
▪️배리어프리-음성해설

-
국립극단 온라인 극장
🔗on.ntck.or.kr

#국립극단 #온라인극장 #국립극단온라인극장 #온라인공연
#연극 #햄릿 #이봉련 #배우 #연극배우 #희곡 #연기 #연기연습",UC-2Nn7WrZJkx1m-g_Y0Gf2Q,국립극단,2025-03-11T05:00:30Z,229,3.82,False,7799,118,6,https://www.youtube.com/watch?v=Rrt5t03SbSI,24700,811,PF242516,"국립극단, 햄릿",연극,국립극단 [명동] 명동예술극장,2024-07-05,2024-07-29,,,
CXKWSABIjuo,[국립극단 온라인 극장] '햄릿' (수어통역),"📢 #온라인극장 #신작공개

💌2025 온라인 극장 신작
#매진신화의_역사_국립극단_햄릿_⚔️

-
🎥'햄릿'
400여 년을 지나온 불멸의 명작!
관객이 만날 가장 현대적인 '햄릿' 👑

“내 연극은 아직 끝나지 않았어! 나는 다시 무대에 오른다.”

✔3월 17일(월) 오후 2시
지금 바로 온라인 극장에서 관람 가능!

✔영상옵션
▪️기본
▪️수어통역
▪️음성해설

-
🎫신작 할인
▪️정가 9,900원▶6,600원
▪️~3월 23일(일)까지
▪️상세페이지▶구매하기▶할인적용

🎫신규가입 시 20% 할인쿠폰 제공

🏠자세한 온라인 극장 이용방법 FAQ 및 상세페이지 확인

-
국립극단 온라인 극장
🔗on.ntck.or.kr

#국립극단 #연극 #국립극단온라인극장 #연극OTT #온라인공연 #햄릿",UC-2Nn7WrZJkx1m-g_Y0Gf2Q,국립극단,2025-03-17T05:00:49Z,16,0.27,True,2900,40,1,https://www.youtube.com/watch?v=CXKWSABIjuo,24700,811,PF242516,"국립극단, 햄릿",연극,국립극단 [명동] 명동예술극장,2024-07-05,2024-07-29,,,
VCmJhooITYY,★[햄릿] 설민석 강독 풀버전★ 세계적 대문호 셰익스피어의 '4대 비극' 중 가장 위대한 명저! | 요즘책방 : 책 읽어드립니다 The Page-Turners EP.24,"★[햄릿] 설민석 강독 풀버전★ 셰익스피어의 '4대 비극' 중 가장 위대한 명저
↓↓↓

00:44 엘시노어 성에 떠도는 유령, 유령이 전한 충격적 사실?!
04:09 햄릿이 미쳤다? 햄릿의 치밀한 복수 리허설
06:55 생사를 고민하는 햄릿, 시작된 복수극
10:50 아버지의 원수를 마주한 햄릿, 그냥 돌아가버리다?
12:24 어머니와의 말다툼 도중 살인을 저지르고만 햄릿
14:59 부메랑으로 돌아오는 햄릿의 복수극
17:03 퍼지는 독, 죽음의 장이 된 경기장

TV로 읽는 독서 수다 ＜요즘 책방: 책 읽어드립니다＞
매주 (화) 저녁 8시 10분 tvN
#책읽어드립니다 #설민석 #햄릿 #셰익스피어",UCR9gReM5VhQ_8brqQrBaVCA,tvN STORY 티비엔 스토리,2020-04-23T14:54:34Z,1311,21.85,False,1441640,15508,471,https://www.youtube.com/watch?v=VCmJhooITYY,1150000,18970,PF242516,"국립극단, 햄릿",연극,국립극단 [명동] 명동예술극장,2024-07-05,2024-07-29,,,
7jUfXWo9fvQ,[국립극단 온라인 극장] '햄릿',"📢 #온라인극장 #신작공개

💌2025 온라인 극장 신작
#매진신화의_역사_국립극단_햄릿_⚔️

-
🎥'햄릿'
400여 년을 지나온 불멸의 명작!
관객이 만날 가장 현대적인 '햄릿' 👑

“내 연극은 아직 끝나지 않았어! 나는 다시 무대에 오른다.”

✔3월 17일(월) 오후 2시
지금 바로 온라인 극장에서 관람 가능!

✔영상옵션
▪️기본
▪️배리어프리-수어통역
▪️배리어프리-음성해설

-
🎫신작 할인
▪️정가 9,900원▶6,600원
▪️~3월 23일(일)까지
▪️상세페이지▶구매하기▶할인적용

🎫신규가입 시 20% 할인쿠폰 제공

🏠자세한 온라인 극장 이용방법 FAQ 및 상세페이지 확인

-
국립극단 온라인 극장
🔗on.ntck.or.kr

#국립극단 #연극 #국립극단온라인극장 #연극OTT #온라인공연 #햄릿",UC-2Nn7WrZJkx1m-g_Y0Gf2Q,국립극단,2025-03-17T05:00:12Z,18,0.3,True,1225,10,0,https://www.youtube.com/watch?v=7jUfXWo9fvQ,24700,811,PF242516,"국립극단, 햄릿",연극,국립극단 [명동] 명동예술극장,2024-07-05,2024-07-29,,,
w3LYfYMOtk0,[국립극단 온라인 극장]  “내 연극은 아직 끝나지 않았어. 나는 다시 무대에 오른다.” | 햄릿 #shorts,"📢 #온라인극장 #신작공개

💌 2023 온라인 극장 네 번째 작품
#힌트 #👑 #⚔

-
🎥 '햄릿'

2021년 백상예술대상 연극 부문 연기상 수상🏆

2023년 7월 온라인 극장 상영회 전석 매진👏👏

이번엔 온라인 극장에서 만나 볼 차례!
#단_5개월 #마지막기회

”세상이 뒤틀려 버렸다. 이 나라는 정말 최악이다!“

✔8월 11일(금) 오후 2시
지금 바로 온라인 극장에서 관람 가능합니다!
#국립극단_2023_하반기_온라인극장_스타트

🎫신작할인
▪정가 9,900원▶6,600원
▪~8월 18일(금)까지
▪상세페이지→구매하기→할인적용

🎫신규가입 시 20% 할인쿠폰 제공

🏠자세한 온라인 극장 이용방법 FAQ 및 상세페이지 확인

-
국립극단 온라인 극장
🔗on.ntck.or.kr

#국립극단 #연극 #국립극단온라인극장 #햄릿 #이봉련 #부새롬 #정진새 #월리엄셰익스피어 #연극OTT #온라인공연",UC-2Nn7WrZJkx1m-g_Y0Gf2Q,국립극단,2023-08-11T05:00:33Z,16,0.27,True,9507,164,0,https://www.youtube.com/watch?v=w3LYfYMOtk0,24700,811,PF242516,"국립극단, 햄릿",연극,국립극단 [명동] 명동예술극장,2024-07-05,2024-07-29,,,
