video_id,comment_id,author,text,like_count,published_at
U38NMAPtgoc,Ugxyb3HeZCuvC8EqMYJ4AaABAg,@정진철-z8d,"숲속에서들어본다
숲과하나되는소리가
좋다
나무들이
귀기울인다
다시또내가왔으면한다네
음악이좋아서~",0,2025-11-07T08:16:59Z
U38NMAPtgoc,UgxyT_5FyJ3g5ItL19B4AaABAg,@정진철-z8d,"말을걸어오네
클라리넷이면서아닌것처럼
꿈속도아니고
현실도아닌것
나만의놀이다
즐겨라~",0,2025-11-07T07:56:32Z
S4B0uMDwCdc,UgzpNTv5KE43EG89KJh4AaABAg,@크리스탈댁,👍,1,2023-09-12T12:42:05Z
GSFJgTbOYSQ,UgzPnqR1RoJfCyDk6894AaABAg,@youtube_peace,"너무 멋져요 👍 😍 💕 
박 교수님",0,2021-01-08T22:17:08Z
0cCk5zfhutE,UgyMyjt_C2m_z7_wDPh4AaABAg,@df12155,❤❤,0,2023-08-21T07:55:57Z
0cCk5zfhutE,UgzKHcOvdcyMTUVU7AN4AaABAg,@df12155,너무 좋아요~~ 무용수분들 더워서 엄청 고생하셨겠어요!!,0,2023-08-21T07:51:36Z
0cCk5zfhutE,UgyjJfGlAj1EcbirdZh4AaABAg,@발레-m3o,"바다.
무용수.

환상~~",0,2023-09-30T01:44:54Z
0cCk5zfhutE,Ugz-GcM0Zx6nFVPtfGB4AaABAg,@뀨뀨무뀨,아니 다 좋은데 프로무용수들 초청을 했으면 댄스 플로워라도 제대로 해주던가 미끄러워서 다칠까봐 노심초사다;;,1,2023-11-07T13:19:01Z
