video_id,video_title,description,channel_id,channel_name,channel_subscriber_count,channel_video_count,published_at,duration_sec,video_format,view_count,like_count,comment_count,video_url,matched_perf_id,matched_title,matched_genre,season_match,substring_hit,quote_hit,venue_match,date_match
EuDG0S-4rPY,해운대문화회관 기획공연 어린이 연극[강아지똥],해운대문화회관 기획공연 어린이 연극 강아지똥 2025.4.12.(토) 11:00/14:00 해운홀 티켓 오픈 2025. 3. 5.(수) 14:00 ~ 2024 영국 ...,UCLGgWRvRzHlDSGmzebZJNqQ,해운대문화회관,652,99,2025-03-25T01:16:28Z,31,shorts,708,3,0,https://www.youtube.com/watch?v=EuDG0S-4rPY,PF260453,강아지똥 [부산],연극,other_season,True,False,True,True
r5LZq25rOBU,‘호두까기 인형’ 크리스마스 대첩…대표 발레단 2색 무대 [9시 뉴스] / KBS  2025.12.20.,"크리스마스 시즌이면 떠오르는 공연 호두까기 인형이 돌아왔습니다. 매년 담그는 김장의 맛이 다르듯, 올해 호두까기 인형은 어떤 맛 ...",UCcQTRi69dsVYHN3exePtZ1A,KBS News,3660000,460931,2025-12-20T12:32:28Z,133,general,8001,61,8,https://www.youtube.com/watch?v=r5LZq25rOBU,PF262691,"국립발레단, 호두까기인형 [부산]",무용(서양/한국무용),other_season,True,True,False,True
vNu5e9WOuUw,어린이들 &#39;꿈의 무대&#39; 된 &#39;호두까기 인형&#39; / SBS 8뉴스,〈앵커〉 크리스마스를 배경으로 한 발레 '호두까기 인형'은 이맘때면 어김없이 무대에 오르는 대표적인 연말 공연이죠. 초연 당시에는 ...,UCkinYTS9IHqOEwR1Sze2JTw,SBS 뉴스,5250000,347100,2025-12-25T12:57:37Z,149,general,5232,58,2,https://www.youtube.com/watch?v=vNu5e9WOuUw,PF262691,"국립발레단, 호두까기인형 [부산]",무용(서양/한국무용),other_season,True,True,False,True
xr-Hl6Z2xyQ,유니버설발레단 〈호두까기인형〉| 세종문화회관,"유니버설발레단 〈호두까기인형〉 매년 겨울, 전 세계를 따뜻하게 물들이는 크리스마스의 전령사, 호두까기인형❄️ 차이콥스키의 ...",UCCqaPJqI5q1kfO51qWWOjrQ,세종문화회관 Sejong Center,36100,1018,2025-11-20T07:13:20Z,30,shorts,5029,17,2,https://www.youtube.com/watch?v=xr-Hl6Z2xyQ,PF272813,"국립발레단, 호두까기인형 [세종]",무용(서양/한국무용),other_season,True,True,False,True
sP-jbL5N2jw,2025 유니버설발레단 호두까기인형 스팟,[호두까기인형] 스팟 영상 공개     세종문화회관에서 만나는 마법 같은 사랑이야기   유니버설발레단의 [호두까기인형]과 함께 ...,UCk1RygHm67qOfwgxaNmRI2w,Universal Ballet,7650,566,2025-10-22T07:52:31Z,30,shorts,5923,44,8,https://www.youtube.com/watch?v=sP-jbL5N2jw,PF272813,"국립발레단, 호두까기인형 [세종]",무용(서양/한국무용),other_season,True,False,False,True
7BjskdSD05c,1층보다 좋아하는 경우도 많은 2층 시야 #호두까기인형 #국립발레단,,UCTXXUCDPPIYfQaIzZk3A-wQ,달걀TV : ♥공연♥뷰의 모든것,2140,273,2024-11-17T07:35:23Z,10,shorts,18026,41,0,https://www.youtube.com/watch?v=7BjskdSD05c,PF250884,"국립발레단, 호두까기인형 [천안]",무용(서양/한국무용),other_season,True,False,False,True
HeYg6p0IAgo,어디가 좋을지 자세히 보세요 #호두까기인형 #국립발레단 #발레공연,,UCTXXUCDPPIYfQaIzZk3A-wQ,달걀TV : ♥공연♥뷰의 모든것,2140,273,2024-11-16T04:19:19Z,12,shorts,24325,94,5,https://www.youtube.com/watch?v=HeYg6p0IAgo,PF250884,"국립발레단, 호두까기인형 [천안]",무용(서양/한국무용),other_season,True,False,False,True
OdNIqLX4utM,2025년 12월 17일 오후 7시 30분 유니버설발레단 호두까기인형 커튼콜 @ 세종문화회관,클라라 : 강미선 호두까기왕자 : 이동탁 드로셀마이어 : 엄재용 생쥐 왕 : 이승민 어린 클라라 : 염아영.,UCJVGnTBxR94074LM3msvLNw,월간발레,46,34,2025-12-17T15:18:53Z,306,general,2714,14,1,https://www.youtube.com/watch?v=OdNIqLX4utM,PF262691,"국립발레단, 호두까기인형 [부산]",무용(서양/한국무용),other_season,True,False,False,True
p1hO54PfXak,호두까기인형 세종씨티발레단 2025.11.29 남동소래아트홀,2025 호두까기인형 세종씨티발레단 2025.11.29 남동소래아트홀.,UC1AIxRkaenfzgrFJLKt5-AQ,공연과 여행을 사랑합니다. ,11,43,2025-11-30T04:36:51Z,306,general,127,2,0,https://www.youtube.com/watch?v=p1hO54PfXak,PF272813,"국립발레단, 호두까기인형 [세종]",무용(서양/한국무용),other_season,True,False,False,True
sqf-hzwaCkk,오늘의 영상#세종시#나성동#세종예술의 전당#국립발레단#호두까기인형#커튼콜,,UCpkFmtwnVJuAL6pzytco42g,찬단반찬,1560,1998,2024-12-31T10:01:01Z,12,shorts,2670,27,2,https://www.youtube.com/watch?v=sqf-hzwaCkk,PF250884,"국립발레단, 호두까기인형 [천안]",무용(서양/한국무용),other_season,True,False,False,True
DNQEKigecSI,오늘의 영상#세종시#나성동#세종예술의 전당#국립발레단#호두까기인형,,UCpkFmtwnVJuAL6pzytco42g,찬단반찬,1560,1998,2024-12-31T09:00:13Z,12,shorts,682,3,2,https://www.youtube.com/watch?v=DNQEKigecSI,PF250884,"국립발레단, 호두까기인형 [천안]",무용(서양/한국무용),other_season,True,False,False,True
idUqgHCloLc,[25.09.04. - 25.09.05.] 창작코믹오페라 「놀부전」 - 대구,25.09.04. - 25.09.05.] 창작코믹오페라 「놀부전」 - 대구 장소 아양아트센터 아양홀 관람시간 70분 기간 2025년 09월 04일(목) ...,UCjTlbWQ2QLF5u6C9KCO1pbg,대구 공연 정보,980,4316,2025-07-30T12:43:45Z,51,shorts,42,1,0,https://www.youtube.com/watch?v=idUqgHCloLc,PF270836,놀부전 [대구],서양음악(클래식),other_season,True,True,True,True
I-KAg78AqdM,[문화쏙쏙] 판소리가 이렇게 재밌다고? 놀부전부터 K-악가무까지,대구공연 #9월공연 #놀부전 #판소리 #오페라 #대구아양아트센터 #대구음악창작소 #K악가무 #대구문화생활 #공연추천 (뉴스 방영일 ...,UC5H4IPwmrCDHK7bUenQ5Pkg,ch B tv 대구,17500,7910,2025-09-05T06:43:42Z,197,general,46,0,0,https://www.youtube.com/watch?v=I-KAg78AqdM,PF270836,놀부전 [대구],서양음악(클래식),other_season,True,False,True,True
Junzd9poSa0,박창민 창작코믹오페라 놀부전 in 창녕문화예술회관,2024년 10월 17일 창녕문화예술회관 Video by 스튜디오 임프레스.,UCc6CroQo1sMD-KqgKAItvMw,이음오페라단,51,9,2024-10-06T20:48:48Z,52,shorts,192,5,0,https://www.youtube.com/watch?v=Junzd9poSa0,PF242734,놀부전 [함안],서양음악(클래식),other_season,True,False,False,True
Z0iLLCf07uQ,[#벌거벗은세계사] (70분) 최초의 여성 노벨상을 받은 사람의 삶은 어떨까👀!? 방사능의 어머니 마리 퀴리의 일생 몰아보기 | #티전드,티빙에서 스트리밍 : https://tving.onelink.me/xHqC/gpc4kkic ＜벌거벗은 세계사＞ [월] 밤 10:10 tvN 방송 #벌거벗은세계사 #티빙에서 ...,UCsRIHt5FkbGc6cQtCxt-ufA,tvN D ENT,5360000,74108,2024-02-09T06:00:26Z,4486,general,922395,6425,342,https://www.youtube.com/watch?v=Z0iLLCf07uQ,PF226540,마리 퀴리,뮤지컬,current_season,True,False,False,True
