video_id,comment_id,author,text,like_count,published_at
e1KA7DfVF8c,UgzxG-akQI_wdZWtETZ4AaABAg,@김진용-b5o,이걸 여기서보내ㅋ,0,2024-08-13T12:18:46Z
OW3p6RSl0SU,UgxYhzUPg31uBSRJmfh4AaABAg,@룬희_v8,가봤어요!,0,2024-05-01T11:52:09Z
xpUCBqjBWaU,UgxCcEk3xa4VTGv7We54AaABAg,@김나리-d2u,"성공을 기원합니다!!!날씨가 좋아서 모두가 즐겁고 쾌적하고 ,성공적인 운영과 봉사, 모든 일정이 되시길 빕니다!!!",11,2025-10-22T13:05:31Z
xpUCBqjBWaU,Ugx0WZlp3H_gKNmKR6J4AaABAg,@윤석정-y1u,"바가지상술만없으면좋을듯
또 숙박시설도
저렴하게~~",17,2025-10-22T13:02:12Z
xpUCBqjBWaU,Ugx_TApS1V4biy1UO294AaABAg,@이경-k8r,원래 황리단길은 평일에도 붐빔,19,2025-10-22T10:42:22Z
xpUCBqjBWaU,UgxxQOAABUdU0wztC8V4AaABAg,@임시경-b1n,경주 세계적 관광지로 손색이 없어요.,6,2025-10-22T13:44:53Z
xpUCBqjBWaU,Ugw60NCEGl3Jjblpf494AaABAg,@정병창-y8w,"관광지 화색은 좋은데,,, 너무 바가지 씌우지마라. 제주도나 울릉도 꼴난다.",6,2025-10-22T13:52:42Z
xpUCBqjBWaU,UgwPR-Mav2o3iPoNbv14AaABAg,@rika97279,나도 경주에 갈거야,2,2025-10-22T23:17:30Z
xpUCBqjBWaU,UgxFPWOSyctwIGcxPu14AaABAg,@jes8337,상인아 하루살이 아니잖아 멀리보자,3,2025-10-22T13:46:12Z
xpUCBqjBWaU,Ugy9mEyAJJo1cNgg1794AaABAg,@kwang-jokim,주말에 나도간다😂,2,2025-10-22T13:47:00Z
xpUCBqjBWaU,Ugx8M51qhss8KY84mIN4AaABAg,@step-k6r,"또 김칫국? 아니겠지.

이 분위기 오래가길 

오래가도록  해보길. 제발!",1,2025-10-22T13:20:48Z
xpUCBqjBWaU,UgzVAm8AqmrvY8HNPyd4AaABAg,@mult1-y1n,"ㅋㅋ 일본처럼 섬세한 건축물들이 있나? 중국처럼 거대한 건축물들이 있나?
천년역사 어쩌고 하지만 당장 눈앞에 보이는건 허허벌판 뿐이고
황룡사? 반월성? 동궁과월지? 복원한다고 한지가 언젠데 10년, 20년전이랑 모습이 그대로냐... 지원금만 쪽쪽빨아먹고 관리감독은 제대로 안돼서 아직도 제자리 걸음이고...
이번에도 외국관광객들 불러놓고 입으로만 천년역사 어쩌고 해라. 개쪽이다 개쪽",2,2025-10-22T15:22:28Z
xpUCBqjBWaU,Ugw32CTKJLc9pbpkG7h4AaABAg,@Aaakkkkeee,효과 좋다 그래도 ~,1,2025-10-22T12:53:43Z
