video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,date_signal,venue_signal,hashtag_categories,is_condensed_official,explicit_title_quote_match,signal_score,suggested_status,flag_reason
pU4k6VI1msY,부천필하모닉오케스트라 신임 지휘자 위촉 / 아드리앙 페뤼숑,지휘자 아드리앙 페뤼숑이 부천필하모닉오케스트라 신임 지휘자로 위촉 됐습니다. 최근 위촉식이 있었는데요. 부천핸썹을 외치며 부천시와의 만남을 시작한 아드리앙 페리숑. 그리고 부천필. 여러분이 많이 많이 응원해주세요.,UCJ11gB9E0bT1sM5wPTZt45Q,부천시 핸썹TV,2025-03-31T00:00:36Z,23,0.38,True,2859,44,0,https://www.youtube.com/watch?v=pU4k6VI1msY,27500,1606,PF280843,제334회 부천필하모닉오케스트라 정기연주회 [부천],서양음악(클래식),부천아트센터 콘서트홀,2026-02-27,2026-02-27,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
kmB8m0Zhbz8,"BAC개관공연 | 생상스 교향곡 제3번 c단조, Op.78 '오르간' 중 피날레","[부천아트센터 개관공연 : BAC CONNECTED]

지난 5월 19일, 
국내 최고의 클래식 특화 공연장으로
활짝 문을 연 부천아트센터! 🎊

그날의 감동이 그리우셨을 여러분을 위해
부천아트센터의 자랑,  4,576개의 금빛 파이프,
오르간 연주를 다시 한 번 전해드립니다💛
- - -

📍생상스. 교향곡 제3번 c단조, Op.78 '오르간' 중 피날레
    C. Saint-Saёns Symphony No.3  c minor, Op.78 'Organ' - Finale

지휘 | 장윤성
협연 | 오르간 이민준
연주 | 부천필하모닉오케스트라


#BAC #부천아트센터 #클래식 #클래식공연장 #오르간 #파이프오르간 #클래식특화공연장 #부천시 #부천시청 #부천핫플 #생상스 #bucheonartscenter",UCkWUXwx4nKX_32QTQ64dtTg,부천아트센터 Bucheon Arts Center,2023-05-31T08:55:00Z,503,8.38,False,16315,222,14,https://www.youtube.com/watch?v=kmB8m0Zhbz8,1510,232,PF280843,제334회 부천필하모닉오케스트라 정기연주회 [부천],서양음악(클래식),부천아트센터 콘서트홀,2026-02-27,2026-02-27,,,,none,match,1,False,False,3,verified_candidate,장소 일치
