video_id,comment_id,author,text,like_count,published_at
byE2AA-XVx4,UgzLKKVZbpBrTTRz__F4AaABAg,@jeehye_6568,"10:09 2nd movement
15:09 3rd movement",5,2023-06-29T15:22:40Z
byE2AA-XVx4,UgxjomzphH2sEoC0nah4AaABAg,@pink-797,힌데미트 음악좋다  👏👏👏👏,1,2025-12-12T04:36:52Z
byE2AA-XVx4,UgwIuamhG3LVeUuG_CV4AaABAg,@Jaolunco,10:10  2nd mov. Harmonic fluctuation,5,2023-10-26T15:38:20Z
byE2AA-XVx4,UgwAj8n2vWIzyVIuZ1h4AaABAg,@Jorge-dlugg,"one of 
the best Version
.on youtube!",1,2025-07-20T10:07:04Z
byE2AA-XVx4,Ugx4s_D8gMihw9ekYHl4AaABAg,@김재원-n8e,0:50,4,2023-06-28T14:30:59Z
byE2AA-XVx4,Ugy30f4vGV2s3aOokvF4AaABAg,@pureumit,10:16,1,2023-07-05T01:41:06Z
WQTmTHefyHQ,UgyfYEcnMPYK4cjpRd94AaABAg,@대근송-u1c,힘이 나네요 멋과흥이 넘칩니다,1,2024-04-19T10:02:08Z
WQTmTHefyHQ,UgxvbAtHIEQ-FUZaIrJ4AaABAg,@unicoopu,성시영 태평소 는 천하일품 ~,0,2024-11-07T07:47:30Z
WQTmTHefyHQ,UgxJMjldcOEyRZzGipZ4AaABAg,@hyeyeongjang5081,고급스럽게 흥겹습니다.,0,2022-11-20T05:36:36Z
166SdLKaX9E,UgxNUmy87_jXHVUaIR94AaABAg,@user-eb2jy7kn2p,약간 초딩 때 춘 막춤같음,320,2025-11-06T18:31:00Z
166SdLKaX9E,UgxnFhwY2uPOk88Owq54AaABAg,@gogomin9810,"춤도 춤이지만 정말 놀라운 팔다리 길이😮 비율도 어쩜… 
저렇게 가늘고 길쭉하면 보통 어깨가 좁은데 어깨마저 넓고 정말 타고난 배우다.",193,2025-02-15T11:32:20Z
166SdLKaX9E,UgxLz1PY_xtZ6jBNjnZ4AaABAg,@illililililillililililllil,"아니...춤까지 예술로 춰 버리네. 연기, 노래, 비주얼, 목소리도 대박인데",101,2025-02-14T15:22:25Z
166SdLKaX9E,Ugy91v8aEjz514KM8Qt4AaABAg,@김지혜-i8l3q,아니 그냥 춤을 얼굴로 다 표현해..,54,2025-02-15T04:27:48Z
166SdLKaX9E,UgxxvV8y2BtpWsnZCzp4AaABAg,@lusia501,돌때 슬로우모션처럼~ 팔다리 기럭지예술이네🎉,32,2025-02-16T03:39:14Z
166SdLKaX9E,Ugze7Rbdby8qZEndqgZ4AaABAg,@좋아요-x1d,이분은 몇년뒤 훌륭한 배우가 되어있습니다😊😊,17,2025-02-20T12:41:54Z
166SdLKaX9E,UgzDXlb-UAm-NMYGccF4AaABAg,@박영희-u6q,우와 몸 비율 죽이네 🤗,23,2025-02-18T19:39:49Z
166SdLKaX9E,UgyLmNsDn5xXi0D2mkZ4AaABAg,@깡이야-m3o,"왜 그러는거야
이렇게까지 하지 않아도
이미 출구를 봉인한채로 미로속을 헤매고 있다고",52,2025-02-16T14:14:45Z
166SdLKaX9E,UgwDLTLQO8b9C1JLyvV4AaABAg,@artjenjin6314,그저 빛같은 그 ❤❤❤😊🎉,20,2025-02-19T13:27:14Z
166SdLKaX9E,Ugz1EF1TMh2QOejKLVp4AaABAg,@ninason4770,헐 못하는게 뭐야,33,2025-02-14T23:56:15Z
166SdLKaX9E,Ugzd4zHJoNFDaj62N4J4AaABAg,@ksg9113,"노래.춤.연기.목소리.
얼굴.키
모든게 완벽 그자체임",55,2025-02-17T14:03:18Z
