video_id,comment_id,author,text,like_count,published_at
NiO_7dX6q4c,Ugw2oNsgH3gqh87Tx6d4AaABAg,@유재영-x9e,오페라 아리아 잘 들었습니다. 특히 지휘자님의 해설 너무 좋았구요 코리아쿱 오케스트라 및 성악가님들 최선을 다하시는 모습 너무 좋았습니다   😊❤,0,2024-02-28T05:49:45Z
NiO_7dX6q4c,Ugx-cvt5icDilzzw5ZN4AaABAg,@NobleArtOPERA,"00:40 Die Zauberflöte Overture 마술피리 서곡 
11:13 Dies Bildniss ist bezaubernd schön 얼마나 아름다운 모습인지
16:09 Der Hölle Rache Kocht in meinem Herzen 지옥의 복수심은 내 가슴속에 끓어오르고
23:37 Che gelida manina 그대의 찬 손
29:02 Si Mi chiamano Mimi 내 이름은 미미
34:56 O soave fanciulla 오 사랑스런 아가씨
41:31 Carmen Prelude 카르멘 전주곡
44:08 Habanera 하바네라
48:54 Je dis que rien ne m'epouvante 더 이상 당신을 사랑하지 않아요
54:53 La fleur que tu m'avais jetée 꽃노래
59:27 Chanson du Toreador 투우사의 노래
1:08:40 È il sol dell’anima 사랑은 영혼의 태양
1:14:11 Caro Nome 사랑하는 그 이름
1:20:00 Si, vendetta 그래, 이제 복수다
1:22:54 Un di, se ben rammentomi...Bella figlia dell’amore 언젠가 너를 만난 것 같다...사랑스럽고 아름다운 딸아
1:29:23 La Donna è mobile 여자의 마음
1:32:51 Nessun dorma 공주는 잠 못 이루고
1:37:06 Mattinata 아침의 노래
1:40:38 Brindisi 축배의 노래",1,2022-03-04T06:45:10Z
NiO_7dX6q4c,UgxxDgPtL1Ld5f7JvF54AaABAg,@passione6923,"모두들
최선을 다해 노래하는 모습이 보기 좋습니다♡",0,2022-02-11T06:13:56Z
xZO8lq_S1U8,UgyMh1c3Emeg7MYMry94AaABAg,@5zingO,아니 저건 조규현이 아니라 ㄹㅇ 베르테르인거같은데,164,2025-02-26T04:26:20Z
xZO8lq_S1U8,UgyuwfxxSB94kHaxJ2h4AaABAg,@왁-n2q,0:15 쳐다보다가 눈 마주치니까 피하는거 ㅠㅠㅠㅠ,726,2021-05-10T14:15:18Z
xZO8lq_S1U8,UgxRNaDXPPlaNtBO-I54AaABAg,@JohnDoe-qo8yh,00:57 지혜짱 찐웃음 터진 거 같은데 ㅋㅋ,90,2021-10-05T23:03:48Z
xZO8lq_S1U8,UgzBeqMRZJPjhLcNY6F4AaABAg,@모야-s6d,규졔 화음 뒤집어짐...,219,2021-06-24T14:52:45Z
xZO8lq_S1U8,UgyPgZuLeSkb9ILRtdB4AaABAg,@집에만사는밷수,"오늘 보고 왔는데 정말 규현씨 이렇게 연기 잘하는지 몰랐어요.... 이정도일줄 알았으면 5일부터 내내 봤을텐데. 진짜 나이도 너무 베르테르역에 딱 맞는 나이고 그 순수하구 불타는 사랑을 한, 그래서 스스로마저 태워버린 역할을 너무 잘해서 정말 제가 다 속상하더라구요.... 스크린에서 빼내서 등짝 팍팍 때리고 술잔 뺏고 침대에 눕혀서 뜨끈한 우유 먹이고 재우고 싶은 베르테르였음 ㅠㅠㅠㅠㅠㅠ 넘 속상해...",1004,2021-05-15T15:08:38Z
xZO8lq_S1U8,Ugwv_f4HJYBgrkx2HsR4AaABAg,@shn3803,이지혜님 음색....  실화임?     너무 좋다....,209,2022-01-09T06:40:42Z
xZO8lq_S1U8,UgzjB6wp_Y4OI-A5o4l4AaABAg,@KYUHYUN_,저 달달한 눈빛에 제가 헤어나오지 못하고 있어요,40,2021-07-26T12:02:36Z
xZO8lq_S1U8,UgwIGbYx5ChiGa54Lit4AaABAg,@sudonin,"0:15 롯데 보고 있다가 눈 마주치니까 피하고 수줍어하는 거 개치인다 ,,, 이 부분 때문에 맨날 보러 옴 ㅜㅜ ❤️‍🩹",341,2021-10-02T04:35:37Z
xZO8lq_S1U8,Ugzots1OEgSBG_7T3-d4AaABAg,@cha0203,00:35 롯데 보고있다가 눈 마주치니까 웃는거 넘 좋다,96,2021-06-10T19:28:20Z
xZO8lq_S1U8,UgyF0ZaIN1olZwaYctN4AaABAg,@박유나-c7z,씨뮤..넘나리 고맙지만 발하임은 낙원도 주면 안 될까..?,79,2021-05-10T09:21:43Z
xZO8lq_S1U8,UgxbrjDCRmTpap1oaFt4AaABAg,@유디-j2z,이지헤 때문에 미칠 것 같은 여성 오늘도 땅바닥 퍽퍽치면서 심장을 부여잡는 중,27,2021-06-23T03:07:33Z
xZO8lq_S1U8,UgyTr1YCFDOzrCqueHJ4AaABAg,@연어-j3ba,아니 규현씨 노래를 왜저렇게 잘함….,18,2025-06-21T14:51:14Z
xZO8lq_S1U8,Ugy9Dg88HzyaAIhGs2B4AaABAg,@Kkkk_61,"나는 그냥 이 이후로 그 어떤 배역으로 둘이 다시 만나도 규현이 이지혜 배우를 롯데라고 생각하는 게 좋음
규현의 영원한 롯데가 이지혜 배우라 좋음 ㅠ",37,2025-09-29T05:44:36Z
xZO8lq_S1U8,UgyjkfjNpKaZXz7kPJl4AaABAg,@limhyun3209,"다시 만날 될 줄은 몰랐죠
우연히 마주쳤으니
지나가는 여우비처럼
누구나 그렇듯이

내 생각도 역시 그랬죠
우연히 마주쳤으니
지나가는 소낙비처럼
누구나 그렇듯이


그리고 친구가 되어
어린 시절의 옛날 얘기 나누면
잠깐 사이 우리는 친구

처음에는 누구나 낯설어 하죠
어색하고 얼굴은 붉어져
공연한 고민을 했죠
누구나 그렇듯이

내 생각도 역시 그랬죠
친해질 수 있을까 두렵고
새침하고 겸연쩍은 얼굴
누구나 그렇듯이

그러나 다시 만나고
그러다 서로를 느끼고
그리고 친구가 되어
어린 시절 이야기 나누면
잠깐 사이 우리는 친구
우리는 친구",76,2021-05-11T08:27:16Z
xZO8lq_S1U8,Ugys1rYbgVrsO40GdJ14AaABAg,@user-dh5xs4eo4b,규현 외형도 베르테르에 참 잘 어울리는듯,490,2021-06-20T05:58:00Z
xZO8lq_S1U8,UgwPhBCuwrw64GHtmsF4AaABAg,@규독자,썸넬 조규현 눈빛 유죄,117,2021-06-26T16:37:19Z
xZO8lq_S1U8,UgzIx5TZmbNf5-4i2QJ4AaABAg,@뚜치-s1u,"다시 만날 줄은 몰랐죠....
다시 만날 수 있죠? 규베르 졔롯데....씨뮤 선생님들....베르테르 마지막 아니잖아요 그쵸 ㅠㅠㅜ",111,2021-05-16T13:57:52Z
xZO8lq_S1U8,UgyIqFZiDUFgoIPoga14AaABAg,@1208b,진짜 저 노랑리본...볼때마다 눈물 나온다...규베르 못잃어...저 산뜻한 분위기가 처절해지는게 너무...너무...좋다,540,2021-05-10T09:05:33Z
xZO8lq_S1U8,UgzBkxSloxLx-d_e_-Z4AaABAg,@user-ct5os7gg6t,나만 베르테르 갬성 아는거 아니지?? 다들 똑같은 그 찌질한 갬성 느끼고 있는거지??ㅠㅠ,99,2021-05-25T15:45:05Z
xZO8lq_S1U8,Ugw4R8Lr7rteiTltJfN4AaABAg,@dami-c7d,티빙에 제발 다시 내주세요… 제발…,6,2026-04-29T04:59:49Z
xZO8lq_S1U8,UgxvYVeEsR59_Big4Ld4AaABAg,@이도성-h9s,이지혜님 신의 선물임..오래동안 노래해줘요.,40,2023-01-28T01:40:02Z
xZO8lq_S1U8,UgxYZc9Zzb6IHWTP_ZV4AaABAg,@abocdoel,이집 베르테르는 엄청 풋풋하다,184,2021-05-11T06:04:40Z
xZO8lq_S1U8,Ugx60Qz5aqLx0_J86H94AaABAg,@나뇽뇽,디비디.......디비디를 달라.... 영상화 다해놨잖아.......,17,2021-06-06T13:32:47Z
xZO8lq_S1U8,Ugw-xY-ISruQ39u6gnF4AaABAg,@ricecake0104,"이거 보고 노랑리본 집착녀가 되었습니다.. 규베르 마지막 죽는 장면에서도 오른손목에 리본... 엔딩에서도 손목에 리본묶고 나오고.... 꼭 찾아서 오른손목에 묶고다닐테다,,,,",171,2021-05-10T23:00:56Z
xZO8lq_S1U8,UgyiYSv3bPT9WjOi4pN4AaABAg,@dyabi_0710,0:15 롯데 넉 놓고? 보다가 눈 마주치니까 쓱 피하는 것 봐ㅠㅠㅠ 디테일 끝판왕,24,2021-11-30T02:24:31Z
xZO8lq_S1U8,UgzwO38Nsw3fos4JEsV4AaABAg,@히힣-m7l,하 ㅠㅠㅠㅠㅠ내가 이걸 실제로도 못보고ㅠㅠㅠㅠㅠ영화로도 못보고 ㅠㅠㅠ썅 ㅠㅠㅠㅠㅠㅠ,10,2025-03-08T15:08:02Z
xZO8lq_S1U8,UgyfFQWwB1BOA0NFaox4AaABAg,@liwey_u,상영 1주년 기념으로 한번 더 상영해주면 안될까요..,22,2022-04-19T07:21:40Z
xZO8lq_S1U8,UgyaXbuzmwzay-Wh1lF4AaABAg,@레일라-c1x,"이게 이제 알고리즘에 뜬 사람인데요...제발 상영 한번만 더 해주시거나 디비디를 팔아주시거나 하면 안될까요 미칠거같아요,,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",32,2021-07-09T03:39:02Z
xZO8lq_S1U8,UgyGl69AdMOwkvVkhCJ4AaABAg,@my_lemonapple,"아니
손바닥 닿는거 안보여주는거 실화냐 
보고싶으면 씨지브이에 와라 이거지? 
#딱기다려내가또간다",61,2021-05-10T09:06:14Z
xZO8lq_S1U8,UgzT9Ad0l_a1ydeWzlt4AaABAg,@hong8667,"제발 ㅜㅜㅠㅠ 상영일 늘려주세요 ㅠㅠ
학생 지방러라 ㅠㅠ 한 번 밖에 못 봤는데
또 보고 싶어서 죽을 것 같아요 ㅠㅠㅠㅠ
정말 여운이 많이 남아서 하루종일 베르테르만 생각하고 있어요 ㅠㅠㅠ
제발 청주에서도 상영 됬으면 ㅠㅠㅠㅠㅠㅠ
대전까지 가는거 너무 빡세요..",100,2021-05-18T10:19:35Z
IxjX3aHh6JM,Ugxs7XUL9DXQGPDjo6d4AaABAg,@뮤소현,"얼마전에 공연봤는데 노래너무 좋았어요

이한주배우님 생신축하드려요!!!!!!!!!!🎉🎉🎁🎁",1,2024-06-01T01:44:59Z
IxjX3aHh6JM,Ugwm4naQIZwL3SMYg0F4AaABAg,@루피민,이지윤배우님 제 이름이랑 똑같아요!!!!,1,2023-06-08T11:19:33Z
IxjX3aHh6JM,UgzABDsGaQAUY3WlnGF4AaABAg,@yobin0420,음원 좀 내주세요 제발!!!!!!!,4,2022-01-29T23:44:11Z
Cb2f0Dus5QQ,UgzGlETkpHJ4uw3pMQh4AaABAg,@갈매기튜브,기부천사  그는 이미 천사다.,435,2025-12-06T03:09:43Z
Cb2f0Dus5QQ,Ugx0lsKlD59PgOfXqEN4AaABAg,@이글수리안,"장훈이형 목소리가 레전드인게 쓸쓸함,공허함,울림,진정함,소년미,노인미,똘끼,정숙함 모든게 공존해요. 정말 유니크한 가수입니다. 이런가수는 가요계에 다신 안나올겁니다",443,2025-11-28T12:22:38Z
Cb2f0Dus5QQ,UgxzvC5WGcZSRFlf_Kd4AaABAg,@은은해-x3e,"가창력을 떠나서 김장훈 
목소리엔 분명 울림과 슬픔이 있음
어릴때 슬픈선물 많이 들었는데",269,2025-11-16T13:42:05Z
Cb2f0Dus5QQ,UgzHa7vC4kviLlwRQmJ4AaABAg,@정까꿍-c5v,20년 전 지역축제 때 행사 진행 요원이 아이들 제지하니까 아이들 막지 말라고 하셨던 기억,154,2025-12-06T08:27:28Z
Cb2f0Dus5QQ,Ugxd7hmajXLEIXwyy5F4AaABAg,@K-Retro-m4y,무슨 노래를 회로 먹는거같다. 의도적이고 계획적이고 심지어 감동조차도 만들어내려는 세상뭐든 예쁘게 만들기만하는 세상에 .. 저 사람은 귀한가수임.,92,2026-03-16T02:13:40Z
Cb2f0Dus5QQ,UgzHxdlUKzevkWjFKYF4AaABAg,@한국인-h1f,어릴때부터 잘생겼었구나  ㅎㅎ 평생 모나지않게 살아 줘서 고마워요,41,2026-03-29T15:41:04Z
Cb2f0Dus5QQ,Ugz-HkgZZMNEfoHyWbZ4AaABAg,@FindingObserver,이때는 목에 닭은커녕 계란 한 알도 없을 때네,151,2025-10-30T17:03:55Z
Cb2f0Dus5QQ,UgyCkFCGHRBss4p1ziF4AaABAg,@샤아-아즈나블1980,저분의 노래에는 뭐라 설명할수 없는 감동이 있지,22,2026-03-17T01:29:03Z
Cb2f0Dus5QQ,UgyxRuWGwFP0LGlbRkx4AaABAg,@jamesjeong2131,"묘한가수입니다. 듣기거북하게 들리기도하고, 가만히 듣고있으면 빠져들기도하고, 감정을 이끌어내기도 하는 묘한가수",113,2025-12-29T12:30:49Z
Cb2f0Dus5QQ,UgzG1HB4bKVNDVdE2oh4AaABAg,@김민성-z9z9o,투박하지만 기교없이 울림을 주는 고음이야말로 장훈 형님의 매력인 듯..,16,2026-04-08T11:15:45Z
Cb2f0Dus5QQ,Ugyj27W3fItglDyODq54AaABAg,@우리집-r9k,예술가 그 잡채,45,2025-12-03T00:38:45Z
Cb2f0Dus5QQ,UgwRphTaVVFCRSq6IEN4AaABAg,@내가부른노래저장소,자기도모르는 발성을 쓰는 특이한 가수 하지만 힘든 사람에게 힘을 주고 줬던 가수 사랑합니다 장훈이형.,15,2026-04-06T20:33:41Z
Cb2f0Dus5QQ,UgwsnPn3gwZDoaRcYK54AaABAg,@종선이-g9v,독특한 음색...,43,2025-11-06T15:01:07Z
Cb2f0Dus5QQ,UgyxQgzW6FUN92vbQnh4AaABAg,@ryann1123,개 잘 생겼네,18,2025-12-13T21:47:53Z
Cb2f0Dus5QQ,Ugy3y6gn5HK9qud9D754AaABAg,@달봉양양,뭐야 잘부르잖아,19,2026-01-19T00:57:54Z
Cb2f0Dus5QQ,UgyXuHYXL0w6Ddg6CB14AaABAg,@킴크린-k9n,기부천사   아름답고 멋져요   .. 다들 본받아야 되는데..,72,2025-11-24T13:47:05Z
Cb2f0Dus5QQ,Ugy2Zb2Z6_tFjCSRv5h4AaABAg,@0뿌꾸빵0,"인생을 멋지게 사는 사람..
받은것을 모두 세상에 베푸는 김장훈
진짜 아름다움이란말은 
김장훈을 두고 해야하는말",15,2025-12-22T14:04:20Z
Cb2f0Dus5QQ,UgxXqsGdYAfqglR80px4AaABAg,@월간키노-p4t,참 좋다!!! 왜 김현식이 살아왔다고 했었는지 알겠네...,149,2025-12-06T01:49:15Z
Cb2f0Dus5QQ,Ugy1iOiILvRLVK8Kslx4AaABAg,@블루스리,존잘이었음. 알파메일 그자체,8,2026-04-23T03:52:34Z
Cb2f0Dus5QQ,UgzZEiAJhr-5Jv4u7LB4AaABAg,@꼭찌,우리가 이사람을 사랑해야 돼는 이유...,34,2025-12-27T10:34:34Z
Cb2f0Dus5QQ,UgwT-19-2TTA6fu4ZLR4AaABAg,@푸른하늘-o6g,약간 엄태구 닮았네,32,2025-10-15T14:54:14Z
Cb2f0Dus5QQ,Ugyv4oq6mToRGwuwuPp4AaABAg,@batking469,야생마 시절의 형 멋있다 +_+,55,2026-01-17T10:57:30Z
Cb2f0Dus5QQ,Ugz2-AJ0fgdwY9z8zXh4AaABAg,@pcsaune,지금이랑 비슷한거같은데 어떻게 닭소리가 안나네,74,2025-11-26T06:19:55Z
Cb2f0Dus5QQ,Ugy-bsx9j4fhGr9s0IR4AaABAg,@toto-ds3pl,이건 정말 멋진 영상이구나,12,2025-12-20T21:02:59Z
Cb2f0Dus5QQ,UgxxtUnCU89j0QHalfR4AaABAg,@KimHoonH,"1997년 대전 콘서트의 추억을 잊지 못합니다,
제 나이 11살 4학년 아무것도 모르고 
친구 아버지를 따라  장훈이 형님 
콘서트를 갔습니다
지금 제 나이는 40입니다,
정말 그때가 그립습니다,
그때는 제 아버지가 살아 계셧거든요,
형님은 제 인생에 추억이자 기억이자
제 인생에 속해있는 형님입니다,
감사합니다
오래 사세요.",38,2026-02-17T18:28:05Z
Cb2f0Dus5QQ,Ugzgy2xPOkw7erIzGgJ4AaABAg,@쇼콜라-e9y,와 진짜.. 미친음색이다.. 와.. 사람마음을 울림,1,2026-06-26T19:14:01Z
Cb2f0Dus5QQ,UgwNBI3splr1JmpwM9d4AaABAg,@Jung-ii1fp,무명시절에도 노래 한가닥 하셨구나,21,2025-08-13T13:45:39Z
Cb2f0Dus5QQ,UgzXlILzRkXCYbQ2P6l4AaABAg,@꼬림한놈,"오~~~
 이 때는 목소리 좋은데요",10,2025-12-17T07:55:14Z
Cb2f0Dus5QQ,UgwCa4RH33WNAhc62EJ4AaABAg,@산토끼익명의,저땐 소리를 밑에서 딱잡고 내는거 같음... 지금은 자꾸 풀려서 가볍게 들리고 흔들리는 거 같음 나이도 있겠지만,13,2026-02-24T15:18:13Z
Cb2f0Dus5QQ,UgwdfdMkcP8XvQGKUX54AaABAg,@Magician-wy7oq,60대인 지금이 30대때의 모습보다 더 낫네요...김장훈은 나이를 먹을수록   더 멋있어 지는듯,11,2026-02-03T09:43:59Z
LBn2fZzsjIs,UgyJB_lg0Du6_bDB-L94AaABAg,@지은-n2n7v,"잘보고 가용 :) 
꿀 주말줄겁게 보내세요 (💛)",1,2021-04-17T01:18:45Z
LBn2fZzsjIs,UgwcU_JMUUX5tPY2Gn94AaABAg,@heeya4643,카페뷰 비가와도 좋네요🤗국수에만두.  아기국수는 저도 먹어보고싶네요 ㅎ 맛있는거 한가득 브이로그 넘 좋네요👍🌸,1,2021-04-17T08:43:36Z
