fcltynm,mt10id,mt13cnt,fcltychartr,sidonm,gugunnm,opende
단국대학교 죽전캠퍼스,FC004477,2,민간(대학로 외),경기,용인시,
단막극장(구.대학로단막극장),FC000774,1,민간(대학로),서울,종로구,1996
단밤스튜디오,FC004172,1,기타(비공연장),서울,마포구,
단양군문화예술회관,FC001747,1,공공(문예회관),충북,단양군,1986
달 출판사,FC003610,1,민간(대학로 외),경기,파주시,
달밤엔씨어터,FC001884,1,민간(대학로),서울,종로구,2014
달빛극장,FC001204,1,민간(대학로),서울,종로구,2012
달서아트센터 (구. 웃는얼굴아트센터),FC000183,3,공공(문예회관),대구,달서구,2004
달성군 여성문화복지센터,FC002957,1,공공(기타),대구,달성군,
달성군민체육관,FC003410,1,공공(기타),대구,달성군,
달성문화센터,FC000060,1,공공(문예회관),대구,달성군,2011
달성문화원,FC000335,1,공공(기타),대구,달성군,2014
달성예술극장,FC003924,1,민간(대학로 외),대구,달성군,2023
달식당 (Lunar Pub & Music),FC002423,1,기타(비공연장),서울,종로구,
달콤한음악실,FC002063,1,민간(대학로 외),서울,마포구,
달팽이책방,FC003111,1,기타(비공연장),경북,포항시,
담빛 마술극장,FC002996,1,민간(대학로 외),전남,담양군,
담빛음악당,FC004090,1,공공(기타),전남,담양군,
담양문화회관,FC000487,2,공공(문예회관),전남,담양군,2000
담은작은도서관,FC004016,1,기타(비공연장),경기,용인시,
당고개순교성지,FC004509,1,기타(비공연장),서울,용산구,
당다세,FC004379,1,민간(대학로 외),서울,서대문구,
당산 생각의 벙커,FC004410,1,기타(비공연장),충북,청주시,
당산동 커피,FC002432,1,기타(비공연장),서울,영등포구,
당신의 여름,FC002197,1,기타(비공연장),서울,마포구,2014
당진문예의전당,FC000424,3,공공(문예회관),충남,당진시,2005
당진문화예술학교,FC002412,1,민간(대학로 외),충남,당진시,
당진실내체육관,FC003157,1,공공(기타),충남,당진시,
닻올림,FC004478,1,민간(대학로 외),서울,마포구,
대관령성당,FC002115,1,기타(비공연장),강원,평창군,1955
대교 트라움벨트,FC001888,1,민간(대학로 외),경기,파주시,2017
대교타워 아이레벨홀,FC001570,1,민간(대학로 외),서울,관악구,2013
대구 메리어트 호텔,FC003231,1,기타(비공연장),대구,동구,1996
대구 메트로 갤러리,FC003301,1,민간(대학로 외),대구,달서구,
대구MH컨벤션,FC003569,1,민간(대학로 외),대구,동구,
대구가톨릭대학교,FC004567,3,기타(비공연장),경북,경산시,
대구경북디자인센터,FC000283,1,공공(기타),대구,동구,2007
대구교육대학교 상록문화관,FC002961,1,민간(대학로 외),대구,남구,
대구마술극장 (블루마술극장),FC002452,1,민간(대학로 외),대구,달성군,
대구메트로아트센터,FC000288,1,민간(대학로 외),대구,수성구,2009
대구문화예술회관,FC000191,6,공공(문예회관),대구,달서구,1990
대구범어대성당,FC001432,2,민간(대학로 외),대구,수성구,2017
대구보건대 인당아트홀,FC001577,1,민간(대학로 외),대구,북구,2008
대구북구청소년회관,FC000249,1,공공(기타),대구,북구,2000
대구생활문화센터,FC003227,1,민간(대학로 외),대구,수성구,
대구서구문화회관,FC000836,2,공공(문예회관),대구,서구,1998
대구스타디움,FC001965,4,공공(기타),대구,수성구,2001
대구시민운동장,FC003324,1,민간(대학로 외),대구,북구,
대구어린이회관 꾀꼬리극장,FC000287,1,공공(기타),대구,수성구,1983
대구여성회관,FC002569,2,공공(기타),대구,북구,1989
대구예술발전소,FC001503,1,민간(대학로 외),대구,중구,2013
대구예아람학교,FC003245,1,민간(대학로 외),대구,달성군,
대구오페라하우스,FC000566,3,공공(문예회관),대구,북구,2003
대구은행 제2본점,FC002004,1,민간(대학로 외),대구,북구,1967
대구음악창작소,FC001816,1,공공(기타),대구,남구,2016
대구청소년수련원,FC000342,1,공공(기타),대구,달서구,1994
대구체육관,FC003300,1,기타(비공연장),대구,북구,
대구콘서트하우스,FC001193,3,공공(문예회관),대구,중구,1975
대구학생문화센터,FC000282,3,공공(기타),대구,달서구,2003
대덕구문예회관 (구. 대덕구평생학습센터),FC002480,2,공공(문예회관),대전,대덕구,2000
대덕구청소년어울림센터(구. 대덕청소년수련관),FC001292,1,공공(기타),대전,대덕구,1998
대덕문화전당,FC000196,1,공공(문예회관),대구,남구,1998
대동골문화센터,FC001454,1,공공(기타),부산,남구,2015
대동대학교 한울관,FC003046,1,민간(대학로 외),부산,금정구,
대동대학교 화봉관,FC003614,1,공공(기타),부산,금정구,
대백프라자,FC000293,3,민간(대학로 외),대구,중구,2004
대부바다향기테마파크,FC003350,1,기타(비공연장),경기,안산시,
대안공간 루프,FC002788,1,민간(대학로 외),서울,마포구,
대안공간 환호성,FC004549,1,기타(비공연장),경기,의정부시,
대원 팝콘D 스퀘어,FC001844,1,민간(대학로 외),서울,용산구,
대전 믹스페이스,FC001719,1,민간(대학로 외),대전,중구,2014
대전 사과나무소극장 (폐관),FC001681,1,민간(대학로 외),대전,중구,
대전 서구 관저문예회관,FC001194,1,공공(문예회관),대전,서구,2012
대전 엑스포다리 일원(한밭수목원),FC002138,1,기타(비공연장),대전,서구,
대전가톨릭문화회관,FC000470,1,민간(대학로 외),대전,중구,1975
대전무역전시관 (폐관),FC002608,1,민간(대학로 외),대전,유성구,
대전무형문화재전수회관,FC003564,1,공공(기타),대전,대덕구,
대전서구문화원,FC000616,1,공공(기타),대전,서구,1995
대전시립박물관,FC002481,1,공공(기타),대전,유성구,2012
대전시립연정국악원,FC001415,2,공공(문예회관),대전,서구,2015
대전어린이회관,FC001777,1,공공(기타),대전,유성구,2009
대전예술가의집,FC001289,1,공공(문예회관),대전,중구,2015
대전예술의전당,FC000076,4,공공(문예회관),대전,서구,2003
대전월드컵경기장,FC001972,1,공공(기타),대전,유성구,2001
대전음악창작소,FC003372,1,민간(대학로 외),대전,중구,
대전중구문화원,FC000468,1,공공(기타),대전,중구,1995
대전청소년위캔센터,FC001609,1,공공(기타),대전,동구,2015
대전컨벤션센터 (DCC),FC000174,5,공공(기타),대전,유성구,2008
대전평생교육진흥원 별관,FC004462,1,공공(기타),대전,중구,
대전평생학습관,FC000624,1,공공(기타),대전,중구,2002
대전평송청소년문화센터,FC000323,2,공공(기타),대전,서구,1997
대주아트 엔터뮤직 2호점,FC004354,1,민간(대학로 외),서울,서초구,
대중아트홀,FC002773,1,민간(대학로 외),인천,서구,
대진대학교,FC001950,3,기타(비공연장),경기,포천시,2012
대천해수욕장 보령머드테마파크,FC003506,2,민간(대학로 외),충남,보령시,2022
대학로 A아트홀(구. 신연아트홀),FC001235,1,민간(대학로),서울,종로구,2005
"대학로 극장가게 (구. 문씨어터, 구. 지구인씨어터)",FC001388,1,민간(대학로),서울,종로구,2015
대학로 김대범소극장,FC001323,1,민간(대학로),서울,종로구,2012
대학로 달달씨어터,FC001353,1,민간(대학로),서울,종로구,2014
대학로 두레홀 3관,FC001440,1,민간(대학로),서울,종로구,2006
대학로 두레홀 4관 (폐관),FC001387,1,민간(대학로),서울,종로구,2007
대학로 마로니에소극장(플레이더씨어터),FC000769,1,민간(대학로),서울,종로구,1987
대학로 무하아트센터,FC003868,2,민간(대학로),서울,종로구,
대학로 스카이씨어터,FC001091,2,민간(대학로),서울,종로구,2010
대학로 스타릿홀,FC004589,2,민간(대학로),서울,종로구,
대학로 웃찾사 전용관 (폐관),FC002610,1,민간(대학로),서울,종로구,
대학로 위로홀(구. 몬스터홀),FC001229,1,민간(대학로),서울,종로구,2014
대학로 이음센터(한국장애인문화예술원),FC001404,2,공공(기타),서울,종로구,2015
대학로 일대,FC003535,1,민간(대학로),서울,종로구,
대학로 자유극장 (자유문화발전소),FC000785,1,민간(대학로),서울,종로구,2005
대학로 판타스틱전용관,FC002229,1,민간(대학로),서울,종로구,
대학로극장 (폐관),FC000494,1,민간(대학로),서울,종로구,1987
대학로스타시티,FC000389,5,민간(대학로),서울,종로구,2007
대학로예술극장,FC002633,4,국립,서울,종로구,2009
대한성공회 서울주교좌성당,FC001635,1,민간(대학로 외),서울,중구,1891
대현프리몰 [대구],FC002051,1,기타(비공연장),대구,중구,2001
댄싱공연장,FC000674,1,공공(기타),강원,원주시,2006
댕로홀,FC001099,1,민간(대학로),서울,종로구,2005
더 가든 홀,FC003520,1,기타(해외등),해외,,
더 그란데 파티 앤 뮤직 스튜디오,FC002678,1,민간(대학로 외),서울,서초구,2020
더 그레잇 컬렉션,FC002947,1,민간(대학로 외),서울,서초구,
더 리버사이드 호텔,FC003206,5,기타(비공연장),서울,서초구,
더 리스닝 룸,FC003661,1,기타(비공연장),서울,마포구,
더 무지카 아트홀,FC002482,1,민간(대학로 외),부산,남구,2016
더 바이널 언더그라운드,FC002273,1,민간(대학로 외),부산,남구,2020
더 블랙레이블 사옥,FC004793,2,기타(비공연장),서울,용산구,
더 서울 라운지,FC003175,1,민간(대학로 외),서울,용산구,
더 서울 라운지 [송도],FC003260,1,민간(대학로 외),인천,연수구,
더 서울라이티움 (갤러리아포레),FC002012,2,민간(대학로 외),서울,성동구,2017
더 스페이스 디벙크,FC004218,1,기타(비공연장),서울,마포구,
더 씨어터,FC001249,1,민간(대학로),서울,종로구,2011
더 줌 아트센터,FC001994,1,민간(대학로 외),서울,용산구,2013
더 퍼포머,FC002843,1,민간(대학로 외),충북,청주시,
더더더,FC003918,1,민간(대학로 외),서울,중구,
더드림핑,FC002290,1,기타(비공연장),경기,남양주시,
더마파크,FC001723,1,기타(비공연장),제주,제주시,2008
더매직파티 [대구],FC004272,1,기타(비공연장),대구,달서구,
더뮤지션,FC002916,1,민간(대학로 외),전북,전주시,
더뮤지트라이브홀,FC001569,1,민간(대학로 외),경기,고양시,2017
더블듀스,FC003294,1,민간(대학로 외),서울,서대문구,
더샵갤러리,FC003027,1,민간(대학로 외),서울,강남구,
더쇼 씨어터(THE SHOW THEATER),FC003376,1,민간(대학로 외),서울,강동구,
더숲 초소책방,FC003026,1,기타(비공연장),서울,종로구,
더스크블루,FC003189,1,기타(비공연장),서울,영등포구,
더스테이힐링파크,FC003242,1,기타(비공연장),경기,가평군,2017
더스튜디오HBC (The Studio HBC),FC003411,1,민간(대학로 외),서울,용산구,
더열린아트홀,FC004850,1,민간(대학로 외),대구,달서구,
더원하우스콘서트홀,FC004736,1,민간(대학로 외),부산,해운대구,
더초콜릿 전용관 (폐관),FC001222,1,민간(대학로),서울,종로구,2014
더케이아트홀,FC000119,1,민간(대학로 외),서울,서초구,1991
더케이호텔 [서울],FC001928,3,기타(비공연장),서울,서초구,1991
더켠 소극장,FC001987,1,민간(대학로 외),서울,강북구,2015
더클래식아트홀,FC003512,1,민간(대학로 외),전북,전주시,2018
더클리프,FC003494,1,기타(비공연장),제주,서귀포시,
더퍼포머 마술극장,FC003574,1,민간(대학로 외),충북,청주시,
더퍼포머 씨어터(라스플로레스),FC003404,1,민간(대학로 외),경기,화성시,
더프타운 까사 2호점,FC004614,1,민간(대학로 외),서울,광진구,
더헨즈(THE HENZ CLUB),FC004762,1,기타(비공연장),서울,마포구,
덕진예술회관,FC000939,1,공공(문예회관),전북,전주시,1999
덕호아트홀,FC001886,1,민간(대학로 외),대구,수성구,2013
덜위치 칼리지 서울 영국학교,FC001988,1,기타(비공연장),서울,서초구,2010
데블스도어 센트럴시티점,FC003599,1,기타(비공연장),서울,서초구,
도고 옹기발효음식전시체험관,FC004380,1,공공(기타),충남,아산시,
도고아트홀(구.아산 코미디홀),FC002108,1,공공(기타),충남,아산시,
도곡 율하우스,FC003469,1,민간(대학로 외),서울,강남구,
도곡2문화센터,FC001100,1,공공(기타),서울,강남구,2010
도림교회,FC003604,2,민간(대학로 외),서울,영등포구,
도봉구민회관,FC000218,2,공공(문예회관),서울,도봉구,1993
도시재생지원센터 어반아트홀(청주),FC003619,1,공공(기타),충북,청주시,
도쿄 IINO HALL,FC004622,1,기타(해외등),,,
도토리씨어터,FC003374,2,민간(대학로),서울,종로구,
도톤보리 씨어터 (OSAKA),FC004283,1,기타(해외등),해외,,
도파니아트홀,FC001507,1,민간(대학로 외),경남,창원시,2005
독립기념관,FC003529,13,공공(기타),충남,천안시,1987
돈키호테,FC002222,1,기타(비공연장),전북,전주시,
돔676,FC004747,1,기타(비공연장),경기,하남시,
동강대학교,FC003304,1,민간(대학로 외),광주,북구,
동경국제포럼(일본),FC004611,1,기타(해외등),,,
동광교회,FC003371,1,기타(비공연장),서울,동작구,
동구청공연장 [대전],FC000063,1,공공(기타),대전,동구,2012
동구청소년수련관,FC000603,1,공공(기타),인천,동구,2000
동국대학교,FC000570,4,민간(대학로 외),서울,중구,2008
동네극장,FC002912,1,민간(대학로 외),서울,동대문구,
동대문구 아르코(DDM ARCO),FC004855,3,공공(기타),서울,동대문구,
동대문구문화회관,FC001467,1,공공(기타),서울,동대문구,1997
동대문구민회관,FC001364,1,공공(기타),서울,동대문구,1989
동대문구체육관,FC002191,1,공공(기타),서울,동대문구,
동덕여대공연예술센터,FC000528,1,민간(대학로),서울,종로구,2001
동덕여자대학교 백주년기념관,FC002080,1,민간(대학로 외),서울,성북구,
동두천시민회관,FC000642,1,공공(문예회관),경기,동두천시,1992
동래문화회관,FC000164,3,공공(문예회관),부산,동래구,1999
동리국악당,FC002483,1,공공(기타),전북,고창군,1990
동부여성문화회관,FC000038,1,공공(기타),대구,동구,1995
동부창고,FC002652,6,민간(대학로 외),충북,청주시,
동상힐링캠핑장,FC003135,1,기타(비공연장),전북,완주군,2020
동서대학교 민석 소극장,FC004320,1,민간(대학로 외),부산,해운대구,
동서대학교 소향아트홀,FC001220,1,민간(대학로 외),부산,사상구,2013
동서울대학교,FC002987,1,민간(대학로 외),경기,성남시,
동서울아트홀,FC000126,1,민간(대학로 외),서울,광진구,2012
동성고등학교,FC004130,1,민간(대학로),서울,종로구,
동성로 28 아트 스퀘어 (구. 동성로 야외무대),FC002484,1,공공(기타),대구,중구,2009
동숭무대소극장,FC001203,1,민간(대학로),서울,종로구,2002
동숭아트센터 (폐관),FC000388,3,민간(대학로),서울,종로구,1989
동아대학교 부민캠퍼스,FC002606,1,민간(대학로 외),부산,서구,
동아백화점 아트홀,FC001552,1,민간(대학로 외),대구,중구,1997
동양예술극장(구. 아트센터K),FC001087,3,민간(대학로),서울,종로구,2015
동우아트홀,FC002853,1,민간(대학로 외),전북,군산시,2019
동욱홀,FC002485,1,민간(대학로 외),경기,부천시,2015
동자아트홀,FC001783,1,민간(대학로 외),서울,용산구,2014
동작문화원,FC003271,1,공공(기타),서울,동작구,
동작아트갤러리,FC003197,1,기타(비공연장),서울,동작구,2019
동춘서커스 빅탑극장,FC002006,1,민간(대학로 외),경기,안산시,2011
동해문화예술회관,FC000746,3,공공(문예회관),강원,동해시,1995
동해시청소년수련관,FC001319,1,공공(기타),강원,동해시,1999
동화소극장,FC001275,1,민간(대학로),서울,종로구,2015
두남재아트홀,FC003799,1,민간(대학로 외),서울,강남구,
두두당,FC004029,1,기타(비공연장),대전,대덕구,
두들리안 타악기공작소,FC004223,1,기타(비공연장),경기,화성시,
두류공원 성당못,FC002718,1,기타(비공연장),대구,달서구,1984
두류공원 일원,FC003989,1,민간(대학로 외),대구,달서구,
두류공원야구장,FC003549,1,기타(비공연장),대구,중구,
두리춤터,FC000128,2,민간(대학로 외),서울,서초구,1990
두산아트센터,FC000402,3,민간(대학로 외),서울,종로구,2007
두잇아카펠라 Abar,FC002174,1,기타(비공연장),서울,종로구,2002
듈스튜디오,FC004608,1,기타(비공연장),서울,마포구,
드라폼 (폐관),FC000025,1,민간(대학로 외),서울,양천구,2012
드리운 스튜디오,FC004780,1,기타(비공연장),경남,창원시,
드림나무극장,FC002667,1,민간(대학로 외),경기,용인시,2020
드림빌더,FC004440,1,기타(비공연장),대구,수성구,
드림시어터 [대학로],FC001218,1,민간(대학로),서울,종로구,2012
드림씨어터 [부산],FC002162,2,민간(대학로 외),부산,남구,2019
드림씨어터 라이브홀 [서울 노원],FC004753,1,민간(대학로 외),서울,노원구,
드림아트홀 [대전],FC000752,1,민간(대학로 외),대전,중구,2024
드림아트홀 [원주],FC002810,1,민간(대학로 외),강원,원주시,
드림팩토리,FC002646,1,민간(대학로 외),전북,전주시,
드림홀,FC001945,1,민간(대학로 외),서울,마포구,2014
드바로크,FC004311,1,민간(대학로 외),경기,용인시,
든해소극장 (구. 모모씨어터),FC004098,1,민간(대학로),서울,종로구,2023
디 마르가리따,FC001892,1,기타(비공연장),서울,서초구,2013
디 진테제 하이 카페,FC003689,1,기타(비공연장),서울,성동구,
디 휘테 갤러리(die HüTTE Gallery),FC004532,1,기타(비공연장),서울,중구,
디너씨어터,FC004164,1,민간(대학로 외),서울,송파구,
디도 재즈 라운지,FC004920,1,기타(비공연장),서울,광진구,
디라이트 아트 홀,FC003551,1,민간(대학로 외),경기,부천시,
디뮤지엄,FC003183,1,민간(대학로 외),서울,성동구,
디바인리조트,FC003344,1,기타(비공연장),강원,홍천군,
디바인밸리홀,FC003779,1,기타(비공연장),충남,아산시,
디스코너 더블식스 (DISCORNER 66),FC003627,1,민간(대학로 외),서울,성동구,2023
디아나아트홀,FC004496,1,민간(대학로 외),경기,용인시,
디앤지홀 (DNG HALL),FC002486,1,민간(대학로 외),서울,송파구,2015
디어라이프,FC003602,1,민간(대학로 외),서울,마포구,
디얼스인타임,FC004677,1,기타(비공연장),경남,진주시,
디오니소스라운지,FC003772,1,기타(비공연장),서울,강남구,
디지털서울문화예술대학교,FC004371,1,민간(대학로 외),서울,서대문구,
디캔센터,FC004474,1,민간(대학로 외),대전,동구,
디코소극장,FC001281,1,민간(대학로 외),부산,수영구,2009
디큐브링크아트센터,FC000011,2,민간(대학로 외),서울,구로구,2011
디크레센도,FC004248,1,기타(비공연장),서울,양천구,
딜리스 [서울 성북],FC004852,1,기타(비공연장),서울,성북구,
딥슬립커피,FC003528,1,기타(비공연장),부산,수영구,
딥인투,FC002039,1,민간(대학로 외),전북,전주시,
딥퍼플,FC004911,1,기타(비공연장),서울,서대문구,
떼아뜨로중구,FC001307,1,민간(대학로 외),대구,중구,2012
떼아뜨르 다락 소극장,FC001375,1,민간(대학로 외),인천,중구,2011
떼아뜨르 분도(김광석 소극장),FC002487,1,민간(대학로 외),대구,중구,1980
뚝섬플레이스,FC002343,1,기타(비공연장),서울,성동구,
뜻밖의 극장(구. 해우소소극장),FC001671,1,민간(대학로 외),서울,성북구,2018
라까사 호텔 [서울],FC002417,1,기타(비공연장),서울,강남구,
라까사호텔 [광명],FC002979,1,기타(비공연장),경기,광명시,
라까사호텔 [압구정],FC003290,1,기타(비공연장),서울,강남구,
라꾸에스타,FC004345,1,기타(비공연장),경기,광주시,
라드 (L.A.D),FC003536,1,기타(비공연장),서울,마포구,
라디오가가홀,FC002128,1,민간(대학로 외),서울,마포구,
라마다프라자 [제주],FC001932,1,기타(비공연장),제주,제주시,2016
라마다호텔 [서울],FC002260,1,기타(비공연장),서울,강남구,
라메드홀,FC004195,1,민간(대학로 외),경기,고양시,
라스플로레스 [화성],FC004231,1,민간(대학로 외),경기,화성시,
라온씨어터,FC004018,1,민간(대학로),서울,종로구,
라온아트홀,FC002760,1,민간(대학로),서울,종로구,
라우어 콘서트홀,FC004922,1,민간(대학로 외),부산,기장군,
라움아트센터,FC004338,1,민간(대학로 외),서울,강남구,
라움아트홀,FC003560,1,민간(대학로 외),충남,아산시,
라움프라다바코,FC002703,1,민간(대학로 외),부산,수영구,
라율아트홀,FC002132,1,민간(대학로 외),서울,서초구,
라이브 썸데이즈홀 (구. 이수ENT),FC000360,2,민간(대학로),서울,종로구,2011
라이브 클럽 Amp,FC003330,1,민간(대학로 외),서울,마포구,
라이브앤라우드,FC003096,1,민간(대학로 외),서울,마포구,2004
라이브카페 록시,FC003356,1,민간(대학로 외),경기,하남시,2022
라이브클럽 락캠프,FC002662,1,기타(비공연장),인천,부평구,
라이브클럽 빵,FC002946,1,민간(대학로 외),서울,마포구,1994
라이브클럽 협동조합,FC002323,1,기타(비공연장),서울,마포구,
라이브홀 오즈,FC000206,1,민간(대학로 외),부산,부산진구,2012
라이언슈퍼클럽(LION SUPER CLUB),FC004800,1,민간(대학로 외),서울,강남구,
라이크디즈1601,FC002345,1,기타(비공연장),서울,중구,
라이트 하우스,FC002829,1,민간(대학로 외),서울,성북구,
라이트씨어터,FC001607,1,민간(대학로 외),서울,성북구,2017
라이프 씨어터,FC001102,1,민간(대학로),서울,종로구,2008
라인아트홀,FC002594,1,민간(대학로 외),경기,화성시,
라임스퀘어,FC003235,1,민간(대학로 외),서울,강남구,
라트어린이극장,FC000791,1,민간(대학로 외),서울,강남구,2002
락교 라이브펍,FC004903,1,기타(비공연장),서울,강남구,
락왕,FC001926,1,민간(대학로 외),대구,중구,
락포티,FC002891,1,민간(대학로 외),서울,용산구,
랑데자뷰 [대구 동성로],FC003719,1,기타(비공연장),대구,중구,
랑씨어터,FC001677,1,민간(대학로 외),서울,동대문구,2017
래리치,FC003436,1,기타(비공연장),서울,용산구,
러블랑 [포항],FC003815,2,기타(비공연장),경북,포항시,
러블랑댕댕파크,FC004721,1,민간(대학로 외),경북,포항시,
러스틱재즈,FC003869,1,민간(대학로 외),서울,마포구,
런던스테이지,FC003590,1,민간(대학로 외),대전,서구,2023
런던스테이지 [대전 중구],FC004785,1,민간(대학로 외),대전,중구,
레노부르크 뮤지엄,FC004185,1,기타(비공연장),경기,부천시,
레드라이브카페,FC003843,1,기타(비공연장),대구,달서구,
레드로드 (구. 걷고싶은거리),FC004291,8,기타(비공연장),서울,마포구,
레드루즈씨어터,FC004812,1,민간(대학로 외),서울,강남구,
레드빅스페이스,FC002112,1,민간(대학로 외),서울,마포구,2015
레드포인트,FC004748,1,민간(대학로 외),서울,중구,
레드피아노,FC004521,1,기타(비공연장),전북,전주시,
레디움아트센터,FC002185,1,민간(대학로 외),부산,해운대구,1992
레몬트리소극장,FC001491,1,민간(대학로 외),부산,수영구,2013
레미어린이극장 [광주수완],FC001678,1,민간(대학로 외),광주,광산구,2009
레미어린이극장 [금천],FC001565,1,민간(대학로 외),서울,금천구,2012
레미어린이극장 [부산],FC000256,1,민간(대학로 외),부산,부산진구,2011
레미어린이극장 [부평],FC001564,1,민간(대학로 외),인천,부평구,2010
레미어린이극장 [울산진장],FC001666,1,민간(대학로 외),울산,북구,2006
레미어린이극장 [월드컵],FC001605,1,민간(대학로 외),광주,서구,2007
레미어린이극장 [일산],FC001606,1,민간(대학로 외),경기,고양시,2014
레베누보 빌딩,FC004091,1,민간(대학로 외),서울,강남구,
레브뮤직스튜디오(Reve Music Stuido),FC004551,1,민간(대학로 외),서울,서초구,
레스케이프 호텔 [서울 명동],FC004921,1,기타(비공연장),서울,중구,
레온갤러리 구의 플레이스라운드,FC004729,1,민간(대학로 외),서울,광진구,
레이어 스튜디오 7 (LAYER 7),FC004412,1,기타(비공연장),서울,용산구,
레이어스튜디오 11 (LAYER11),FC004745,1,기타(비공연장),서울,마포구,
레이크야드,FC003814,1,기타(비공연장),충남,서산시,
렌더,FC003827,1,기타(비공연장),서울,성동구,
렌더 성수희망플랫폼,FC004885,1,기타(비공연장),서울,성동구,
렛츠런파크 서울,FC002238,5,공공(기타),경기,과천시,2002
로데아트센터,FC003861,3,민간(대학로 외),서울,서초구,2024
로라뮤직-바인홀,FC002803,1,민간(대학로 외),전북,전주시,2020
로로스페이스,FC001982,1,민간(대학로 외),서울,서초구,2018
로미지안 가든,FC003401,1,기타(비공연장),강원,정선군,
로비 바이 컨템포러리 테일즈,FC004835,1,기타(비공연장),서울,종로구,
로스톤,FC004297,1,민간(대학로 외),서울,영등포구,
로스팅웨어 [진주],FC003726,1,기타(비공연장),경남,진주시,
로얄아트홀,FC002249,1,민간(대학로 외),서울,서초구,
로얄앤컴퍼니 로얄엑스,FC001869,1,민간(대학로 외),경기,화성시,2015
로우키커피 [성수],FC002923,1,기타(비공연장),서울,성동구,2010
로운아뜨리움 (로운아트홀),FC002330,3,민간(대학로 외),서울,양천구,
로즈아트홀,FC002297,1,민간(대학로 외),서울,노원구,2013
로체스터디카페(구. 복합문화공간 작당),FC002335,1,민간(대학로 외),경남,창원시,
로컬모티브,FC004286,1,민간(대학로 외),서울,영등포구,
롤링홀,FC000073,1,민간(대학로 외),서울,마포구,1995
롯데리조트 [속초],FC003509,1,민간(대학로 외),강원,속초시,
롯데마트 [월드컵],FC003589,1,민간(대학로 외),광주,서구,2023
롯데마트 어린이소극장 [구미],FC001561,1,민간(대학로 외),경북,구미시,2005
롯데문화홀 [수원],FC002180,1,민간(대학로 외),경기,수원시,
롯데문화홀 [인천] (구.신세계문화홀),FC000302,1,민간(대학로 외),인천,미추홀구,1997
롯데뮤지엄,FC002114,1,기타(비공연장),서울,송파구,2018
롯데백화점 [광복],FC002582,1,민간(대학로 외),부산,중구,2010
롯데백화점 [구리],FC000890,1,민간(대학로 외),경기,구리시,2011
롯데백화점 [영등포],FC002120,1,민간(대학로 외),서울,중구,
롯데백화점 [일산],FC002097,1,민간(대학로 외),경기,고양시,
롯데백화점 [청량리],FC002106,1,민간(대학로 외),서울,동대문구,
롯데백화점 문화홀 [김포공항],FC003299,1,민간(대학로 외),서울,강서구,
롯데백화점 문화홀 [대구],FC001694,1,민간(대학로 외),대구,북구,2016
롯데백화점 문화홀 [중동],FC001714,1,민간(대학로 외),경기,부천시,2011
롯데백화점 문화홀 [평촌],FC001863,1,민간(대학로 외),경기,안양시,
롯데시네마 [건대입구],FC001733,2,기타(비공연장),서울,광진구,2007
롯데시네마 [경산],FC002416,1,기타(비공연장),경북,경산시,
롯데시네마 [구미],FC004468,7,민간(대학로 외),경북,구미시,
롯데시네마 [대구성서],FC004230,1,기타(비공연장),대구,달서구,
롯데시네마 [도곡],FC004761,1,민간(대학로 외),서울,강남구,
롯데시네마 [부천역],FC002870,1,기타(비공연장),경기,부천시,
롯데시네마 [서울 구로],FC004606,1,민간(대학로 외),서울,구로구,
롯데시네마 [센텀시티],FC001734,1,기타(비공연장),부산,해운대구,2007
롯데시네마 [신대방],FC004860,1,기타(비공연장),서울,동작구,
롯데시네마 [안산],FC004818,8,민간(대학로 외),경기,안산시,
롯데시네마 [월드타워],FC002402,21,기타(비공연장),서울,송파구,
롯데시네마 [청주용암],FC004229,1,기타(비공연장),충북,청주시,
롯데식품관 문화홀 [평촌],FC004773,1,민간(대학로 외),경기,안양시,
롯데월드,FC003502,2,기타(비공연장),서울,송파구,
롯데월드 어드벤처 [부산],FC003657,1,민간(대학로 외),부산,기장군,2022
롯데콘서트홀,FC001513,1,민간(대학로 외),서울,송파구,2016
롯데호텔 [부산],FC000417,4,기타(비공연장),부산,부산진구,1997
롯데호텔 [서울],FC002140,1,기타(비공연장),서울,중구,
롯데호텔 [울산],FC002400,1,기타(비공연장),울산,남구,
롯데호텔 [월드],FC002344,1,기타(비공연장),서울,송파구,
루끄 LOOK [홍대],FC004011,1,기타(비공연장),서울,마포구,
루미나아트홀 (구.시온아트홀),FC001298,1,민간(대학로),서울,종로구,2017
루비살롱,FC004759,1,민간(대학로 외),인천,중구,
루시드아트홀,FC003416,1,민간(대학로 외),인천,남동구,2023
루아앤티그리,FC003748,1,기타(비공연장),제주,서귀포시,
루프탑 투게더,FC003762,1,기타(비공연장),서울,마포구,
룩아웃빌딩,FC003692,1,민간(대학로 외),서울,강남구,
룸어씨어터,FC002708,1,민간(대학로),서울,종로구,
르씨엘 [경주],FC003867,1,민간(대학로 외),경북,경주시,
리듬소망사랑,FC004632,1,민간(대학로 외),경기,고양시,
리리랜드,FC004452,1,기타(비공연장),서울,성북구,
리버레인[춘천],FC003820,1,기타(비공연장),강원,춘천시,
리버틴,FC002223,1,기타(비공연장),충남,천안시,
리얼그룹 스튜디오,FC004705,1,민간(대학로 외),대구,달서구,
리엠아트센터 LEEAM ART CENTER,FC003467,2,민간(대학로 외),서울,강남구,
