data1,data2,data3,data4,__typename,_period_start,_period_end
4,0.5,8,0.2,PerfoStatsTotalData,20260626,20260705
6,0.7,10,0.2,PerfoStatsTotalData,20260626,20260705
0,0,0,0,PerfoStatsTotalData,20260626,20260705
1,0.1,24,0.5,PerfoStatsTotalData,20260626,20260705
0,0,0,0,PerfoStatsTotalData,20260626,20260705
11,1.3,45,1,PerfoStatsTotalData,20260626,20260705
2,0.2,20,0.4,PerfoStatsTotalData,20260626,20260705
0,0,9,0.2,PerfoStatsTotalData,20260626,20260705
3,0.4,9,0.2,PerfoStatsTotalData,20260626,20260705
1,0.1,1,0,PerfoStatsTotalData,20260626,20260705
3,0.4,3,0.1,PerfoStatsTotalData,20260626,20260705
1,0.1,1,0,PerfoStatsTotalData,20260626,20260705
0,0,0,0,PerfoStatsTotalData,20260626,20260705
0,0,0,0,PerfoStatsTotalData,20260626,20260705
1,0.1,2,0,PerfoStatsTotalData,20260626,20260705
836,100.,4477,100,PerfoStatsTotalData,20260626,20260705
