perf_id,title,genre,venue_name,perf_start_date,perf_end_date,total_ticket_sales_qty,verified_video_count
PF238507,"부산시립청소년교향악단 특별연주회, 솔로이스트들의 축제",서양음악(클래식),부산문화회관 대극장,2024-05-21,2024-05-21,220,2
PF269339,"남양주시립합창단, 상상더이상 음악회",서양음악(클래식),남양주 어린이비전센터 다목적강당,2025-07-26,2025-07-26,220,2
PF246652,"남양주시립합창단, 해설이 있는 음악회: 합창으로 듣는 뮤지컬",서양음악(클래식),와부읍주민자치센터 미디어센터,2024-08-22,2024-08-22,220,0
PF289284,"국립합창단, 흥겨운 합창여행 [나주]",서양음악(클래식),나주문화예술회관,2026-05-01,2026-05-01,219,1
PF253391,"ACC 수요극장, 라보엠",서양음악(클래식),국립아시아문화전당 극장3,2024-12-04,2024-12-04,219,0
PF256028,"부산시립청소년교향악단 예술교육공연, 지그재그 음악놀이",서양음악(클래식),부산문화회관 사랑채극장 (소극장) ,2024-12-18,2024-12-18,219,0
PF265670,"성남시립국악단 기획연주회, 천원의 행복릴레이: 아름다운 여정",한국음악(국악),성남아트센터 앙상블씨어터,2025-06-12,2025-06-12,219,0
PF242250,마술피리: 희망의 메아리 [전남],서양음악(클래식),강진아트홀 대공연장,2024-06-15,2024-06-15,219,0
PF271450,"국립남도국악원 토요상설, 국악이 좋다: 차세대 명인전 1. 전통의 새 물결",한국음악(국악),국립남도국악원 진악당,2025-08-16,2025-08-16,219,2
PF286785,"부산시립교향악단 기획음악회, 실내악 시리즈 Ⅰ: 줌인 Ⅰ",서양음악(클래식),부산문화회관 챔버홀,2026-04-15,2026-04-15,219,0
PF279462,돈의 신 (神) [충주],한국음악(국악),충주시문화회관,2025-12-13,2025-12-13,218,0
PF259319,"국립부산국악원 기악단 정기공연, 전통에 대한 경의 Ⅷ: 화악",한국음악(국악),국립부산국악원 연악당,2025-03-14,2025-03-15,218,1
PF271884,a Dark Room [부산 해운대],무용(서양/한국무용),해운대문화회관 해운홀,2025-09-20,2025-09-20,218,1
PF271926,어머니 달의 신화 [영광],무용(서양/한국무용),영광예술의전당 대공연장,2025-08-21,2025-08-21,218,2
PF244801,통속소설이 머 어때서?! [의정부],연극,의정부예술의전당 대극장,2024-08-31,2024-08-31,217,1
PF242183,국립민속국악원 무용단 정기공연: 길,무용(서양/한국무용),국립민속국악원 예원당,2024-06-13,2024-06-13,217,2
PF254835,누모리 쇼 [논산],복합,논산아트센터(구. 논산문화예술회관) 대공연장,2024-12-14,2024-12-14,217,0
