perf_id,title,genre,perf_start_date,perf_end_date,venue_name,runtime_min,company_id,total_ticket_sales_qty,season_match_status,work_group_key,season_rank,actual_group_size,runtime_missing
PF261097,고래바위에서 기다려 [양평],연극,2025-04-12,2025-04-12,양평문화재단 씨어터 양평,90.0,FC004289,197,matched,고래바위에서 기다려::cast0,7.0,1,False
PF249276,"대한민국은 공연중, 극단 파람불: 옥이가 오면",연극,2024-11-08,2024-11-08,예술의전당 [서울] 자유소극장,90.0,FC000001,197,unmatched,,,1,False
PF268184,몬드리안: 더 라인 오브 옵세션 [수원],무용(서양/한국무용),2025-07-26,2025-07-26,수원문화원 (빛누리아트홀) 수원문화원 (빛누리아트홀) ,60.0,FC004065,197,matched,몬드리안: 더 라인 오브 옵세션::cast0,1.0,2,False
PF277721,줄타는 아이와 아프리카 도마뱀 [군산],한국음악(국악),2025-11-29,2025-11-29,군산예술의전당 소공연장,90.0,FC000447,197,unmatched,,,1,False
PF266544,"대전시립청소년합창단, 거장과의 만남 Ⅲ. 바흐 & 헨델",서양음악(클래식),2025-07-05,2025-07-05,대전예술의전당 앙상블홀,70.0,FC000076,197,unmatched,,,1,False
PF284734,"창작희곡공모 선정작 낭독공연, 모노텔",연극,2026-02-28,2026-02-28,국립극단 [명동] 명동예술극장,150.0,FC000005,197,unmatched,,,1,False
PF242639,"제15회 대한민국 국공립극단 페스티벌, 창작희곡의 발견",연극,2024-06-28,2024-06-29,경주예술의전당 소공연장(원화홀),145.0,FC000517,197,unmatched,,,1,False
PF275508,제88회 도립서귀포관악단 정기연주회 [제주 서귀포],서양음악(클래식),2025-10-23,2025-10-23,서귀포예술의전당 대극장,90.0,FC001231,196,unmatched,,,1,False
PF242999,얼쑤 [정선],뮤지컬,2024-06-21,2024-06-21,정선아리랑센터 아리랑홀,100.0,FC002264,196,matched,얼쑤|::cast0,4.0,5,False
PF235151,춘천시립예술단 정기회원 음악회,서양음악(클래식),2024-02-29,2024-02-29,춘천문화예술회관 공연장,90.0,FC000371,196,matched,춘천시립예술단 정기회원 음악회::cast0,1.0,2,False
PF272718,스트라빈스키의 병사이야기 [강릉],복합,2025-10-01,2025-10-01,강릉아트센터 (구. 강릉문화예술관) 소공연장,70.0,FC001787,195,unmatched,,,1,False
PF248964,"공명콘서트, 별 헤는 밤 빼앗긴 들에서 꽃처럼 침묵을 깨다 [군산]",한국음악(국악),2024-09-28,2024-09-28,군산예술의전당 대공연장,90.0,FC000447,195,unmatched,,,1,False
PF243451,"대전시립교향악단, 디스커버리 시리즈 7: 신인발굴 음악회",서양음악(클래식),2024-07-25,2024-07-25,대전예술의전당 앙상블홀,90.0,FC000076,195,unmatched,,,1,False
PF288284,"ACC x QUAD 기언치, 봄: 헉_Hug [서울]",무용(서양/한국무용),2026-05-08,2026-05-09,서울문화재단 대학로극장 쿼드 (예술청) 대학로극장 쿼드 (예술청) ,60.0,FC003018,194,unmatched,,,1,False
PF268034,"부산시립무용단 Dancers and Masterpiece Vol.4, 이정윤의 댄스살롱: 별이 빛나는 쌍쌍",무용(서양/한국무용),2025-07-11,2025-07-12,부산문화회관 중극장,,FC000167,194,unmatched,,,1,True
PF246102,배소고지 이야기: 기억의 연못 [부산],연극,2024-09-21,2024-09-21,(재) 영화의전당 하늘연극장,100.0,FC000175,194,matched,배소고지 이야기: 기억의 연못::cast0,3.0,5,False
PF288355,어둑시니 [양평],연극,2026-04-25,2026-04-25,양평문화재단 씨어터 양평,50.0,FC004289,194,unmatched,,,1,False
PF265723,"대전시립연정국악단, 토요국악 (06.14)",한국음악(국악),2025-06-14,2025-06-14,대전시립연정국악원 작은마당,60.0,FC001415,193,unmatched,,,1,False
PF223138,"제23회 SPAF, 싸움의 기술, 졸 2.0",연극,2023-10-12,2023-10-15,여행자극장,90.0,FC001529,193,unmatched,,,1,False
PF246064,타악 & DJ퍼포먼스: BEAT OF SCHOOL,복합,2024-08-13,2024-08-14,전주한벽문화관 한벽공연장,60.0,FC001263,193,unmatched,,,1,False
PF269035,"BAC 초이스 Ⅴ 2인 가극, 아파트",서양음악(클래식),2025-09-27,2025-09-28,부천아트센터 소공연장,80.0,FC003150,193,unmatched,,,1,False
PF251528,카운터테너 이동규 리사이틀: Dream Quilter 꿈을 누비는 자 [부산],서양음악(클래식),2024-12-13,2024-12-13,금정문화회관 대공연장(금빛누리홀),95.0,FC000160,193,matched,카운터테너 이동규 리사이틀: Dream Quilter 꿈을 누비는 자::cast0,1.0,2,False
PF288709,"국립남도국악원 토요상설: 국악이 좋다, 삶의 노래: 농요",한국음악(국악),2026-05-16,2026-05-16,국립남도국악원 진악당,70.0,FC000030,192,unmatched,,,1,False
PF274125,"국립남도국악원 토요상설, 국악이 좋다: 채정례본 진도씻김굿",한국음악(국악),2025-10-25,2025-10-25,국립남도국악원 진악당,70.0,FC000030,192,unmatched,,,1,False
PF246895,디토 체임버 뮤직 소사이어티: 바흐학 개론 [천안],서양음악(클래식),2024-10-04,2024-10-05,천안시성환문화회관 대공연장,70.0,FC000437,192,unmatched,,,1,False
PF251694,제9회 강동구소년소녀합창단 정기연주회,서양음악(클래식),2024-11-03,2024-11-03,강동아트센터 소극장 드림,70.0,FC000028,192,unmatched,,,1,False
