returncode,errmsg,responsetime,_query_date,genre_code,genre_name
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:43,20240501,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:44,20240501,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:49,20240501,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:49,20240501,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:50,20240501,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:51,20240601,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:52,20240601,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:52,20240601,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:53,20240601,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:53,20240601,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:56,20240601,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:05:56,20240601,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:01,20240701,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:04,20240701,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:04,20240701,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:05,20240701,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:05,20240701,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:05,20240701,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:06,20240701,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:10,20240801,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:10,20240801,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:11,20240801,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:11,20240801,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:11,20240801,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:12,20240801,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:12,20240801,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:14,20240901,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:14,20240901,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:15,20240901,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:15,20240901,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:18,20240901,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:18,20240901,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:21,20240901,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:26,20241001,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:26,20241001,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:29,20241001,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:29,20241001,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:32,20241001,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:32,20241001,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:35,20241001,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:37,20241101,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:37,20241101,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:42,20241101,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:43,20241101,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:43,20241101,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:46,20241101,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:46,20241101,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:48,20241201,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:48,20241201,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:49,20241201,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:49,20241201,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:50,20241201,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:50,20241201,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:50,20241201,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:52,20250101,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:53,20250101,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:53,20250101,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:53,20250101,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:54,20250101,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:54,20250101,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:54,20250101,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:56,20250201,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:57,20250201,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:57,20250201,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:57,20250201,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:58,20250201,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:58,20250201,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:06:59,20250201,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:00,20250301,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:01,20250301,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:01,20250301,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:02,20250301,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:02,20250301,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:02,20250301,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:03,20250301,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:04,20250401,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:05,20250401,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:05,20250401,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:06,20250401,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:06,20250401,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:06,20250401,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:07,20250401,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:09,20250501,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:09,20250501,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:09,20250501,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:10,20250501,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:10,20250501,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:10,20250501,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:11,20250501,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:13,20250601,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:13,20250601,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:13,20250601,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:14,20250601,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:14,20250601,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:15,20250601,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:15,20250601,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:17,20250701,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:17,20250701,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:18,20250701,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:18,20250701,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:18,20250701,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:19,20250701,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:19,20250701,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:21,20250801,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:21,20250801,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:22,20250801,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:22,20250801,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:22,20250801,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:23,20250801,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:23,20250801,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:25,20250901,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:27,20250901,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:28,20250901,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:28,20250901,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:29,20250901,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:30,20250901,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:30,20250901,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:34,20251001,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:35,20251001,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:36,20251001,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:37,20251001,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:37,20251001,BBBF,무용
