video_id,matched_perf_id,matched_title,video_title,high_confidence_other_work,low_confidence_other_work,video_url,confidence
w7OLbBx8PGc,PF255285,"부산시립국악관현악단 예술교육공연: 재밌는 국악, 신나는 국악",[꿈꾸는 예술학교] 예술교육공연 &#39;재밌는 국악 신나는 국악&#39; | 11.꽹과리,,"[('PF275510', '재밌는 국악 신나는 국악')]",https://www.youtube.com/watch?v=w7OLbBx8PGc,low
DzH9q0nMAjo,PF255285,"부산시립국악관현악단 예술교육공연: 재밌는 국악, 신나는 국악",[꿈꾸는 예술학교] 예술교육공연 &#39;재밌는 국악 신나는 국악&#39; | 1.가야금,,"[('PF275510', '재밌는 국악 신나는 국악')]",https://www.youtube.com/watch?v=DzH9q0nMAjo,low
FRBGWWXeaOU,PF255285,"부산시립국악관현악단 예술교육공연: 재밌는 국악, 신나는 국악",[꿈꾸는 예술학교] 예술교육공연 &#39;재밌는 국악 신나는 국악&#39; | 7.단소,,"[('PF275510', '재밌는 국악 신나는 국악')]",https://www.youtube.com/watch?v=FRBGWWXeaOU,low
EPwZmIhtN3E,PF255285,"부산시립국악관현악단 예술교육공연: 재밌는 국악, 신나는 국악",[꿈꾸는 예술학교] 예술교육공연 &#39;재밌는 국악 신나는 국악&#39; | 9.소금,,"[('PF275510', '재밌는 국악 신나는 국악')]",https://www.youtube.com/watch?v=EPwZmIhtN3E,low
hDb04JJ_hiM,PF255285,"부산시립국악관현악단 예술교육공연: 재밌는 국악, 신나는 국악",[꿈꾸는 예술학교] 예술교육공연 &#39;재밌는 국악 신나는 국악&#39; | 6.개량양금,,"[('PF275510', '재밌는 국악 신나는 국악')]",https://www.youtube.com/watch?v=hDb04JJ_hiM,low
kYYQo_6pV_E,PF263259,"더 어린 관객을 위한 극장, 흔들흔들 우주",ACCⅹ국립극단 &quot;더 어린 관객을 위한 극장&quot;,"[('PF288035', '봄여름가을겨울 슴숨슘'), ('PF263198', '봄여름가을겨울 슴숨슘')]","[('PF288035', '봄여름가을겨울 슴숨슘'), ('PF263198', '봄여름가을겨울 슴숨슘')]",https://www.youtube.com/watch?v=kYYQo_6pV_E,high
6XsFwZMkBW0,PF259850,"부산시립소년소녀합창단 특별연주회, Friendly Concert (프렌들리 콘서트)",[부산시립소년소녀합창단] 특별 교류연주회 Friendly Concert 프렌들리 콘서트,,"[('PF236542', 'Friendly Concert')]",https://www.youtube.com/watch?v=6XsFwZMkBW0,low
LbNi5Ts0cRU,PF284619,"부산시립소년소녀합창단 특별연주회, Friendly Concert (프렌들리 콘서트)",부산시립소년소녀합창단 특별연주회 _프렌들리 콘서트 #부산시립소년소녀합창단 #부산시립소년소녀합창단3월특별음악회 #프렌들리 콘서트 #부산문화회관중극장 #금정구소년소녀합창단#콘서트,,"[('PF236542', 'Friendly Concert')]",https://www.youtube.com/watch?v=LbNi5Ts0cRU,low
W6x_qaxjOGg,PF254074,카운터테너 이동규 리사이틀: Dream Quilter 꿈을 누비는 자 [여주],카운터테너이동규[DavidDQLee]리사이틀 〈Dream Quilter 꿈을 누비는 자〉여주 세종국악당 2024.12.21,,"[('PF247013', '꿈을 누비는 자')]",https://www.youtube.com/watch?v=W6x_qaxjOGg,low
Tt-6qRLZ2OY,PF286730,"국립극단, 그의 어머니 Mother of Him [서울]",연극 &#39;그의 어머니 Mother of Him&#39;｜하이라이트,,"[('PF253954', '그의 어머니')]",https://www.youtube.com/watch?v=Tt-6qRLZ2OY,low
LvoGe6wOkGg,PF286730,"국립극단, 그의 어머니 Mother of Him [서울]",⚖ 𝐂𝐎𝐌𝐈𝐍𝐆 𝐒𝐎𝐎𝐍｜연극 &#39;그의 어머니 Mother of Him&#39;,,"[('PF253954', '그의 어머니')]",https://www.youtube.com/watch?v=LvoGe6wOkGg,low
B1Y1sqcGZDg,PF286730,"국립극단, 그의 어머니 Mother of Him [서울]",연극 &#39;그의 어머니 Mother of Him&#39;｜작가 에반 플레이시 인터뷰,,"[('PF253954', '그의 어머니')]",https://www.youtube.com/watch?v=B1Y1sqcGZDg,low
1W3M1gbh8xE,PF286730,"국립극단, 그의 어머니 Mother of Him [서울]",⚖ 개막 𝐃-𝐃𝐀𝐘｜연극 &#39;그의 어머니 Mother of Him&#39;,,"[('PF253954', '그의 어머니')]",https://www.youtube.com/watch?v=1W3M1gbh8xE,low
qUUkPxyAQ8E,PF286730,"국립극단, 그의 어머니 Mother of Him [서울]",연극 「그의 어머니」26.04.16 커튼콜,"[('PF253954', '그의 어머니')]","[('PF253954', '그의 어머니')]",https://www.youtube.com/watch?v=qUUkPxyAQ8E,high
E2Pq_TvmTms,PF287440,"국립현대무용단, 젤리디너",국립현대무용단 &#39;젤리디너&#39;,,"[('PF275651', '서울')]",https://www.youtube.com/watch?v=E2Pq_TvmTms,low
Mo9pyuRbigc,PF245446,"국립창극단, 송년음악회: 어질더질",국립창극단 송년음악회 - 어질더질 - 토선생 용궁가다 커튼콜 241227,,"[('PF269537', '용궁가다'), ('PF263228', '토선생 용궁가다'), ('PF266164', '용궁가다'), ('PF243712', '토선생 용궁가다'), ('PF274329', '용궁가다')]",https://www.youtube.com/watch?v=Mo9pyuRbigc,low
FsLyVVS3xps,PF245446,"국립창극단, 송년음악회: 어질더질",20241227 소리꾼김준수 - 창극콘서트 토선생 용궁가다 커튼콜 인사 in 송년음악회 어질더질 (국립극장 달오름극장),,"[('PF269537', '용궁가다'), ('PF263228', '토선생 용궁가다'), ('PF266164', '용궁가다'), ('PF243712', '토선생 용궁가다'), ('PF274329', '용궁가다')]",https://www.youtube.com/watch?v=FsLyVVS3xps,low
hl-V5iQmQwM,PF245446,"국립창극단, 송년음악회: 어질더질",소리꾼김준수 - 커튼콜 | 국립창극단2025송년음악회 | 어질더질 | 국립극장 해오름 #소리꾼김준수 #김준수 #어질더질 #계속보고싶은영상 20251231,,"[('PF230602', '리어')]",https://www.youtube.com/watch?v=hl-V5iQmQwM,low
07adjnRN_E4,PF245446,"국립창극단, 송년음악회: 어질더질",MUSICAL 뮤지컬 2024 국립창극단 송년음악회 어질더질 토선생 용궁가다 커튼콜 - 유태평양/김준수/김금미/이광복/김우정/왕윤정/김수인,,"[('PF269537', '용궁가다'), ('PF263228', '토선생 용궁가다'), ('PF266164', '용궁가다'), ('PF243712', '토선생 용궁가다'), ('PF274329', '용궁가다')]",https://www.youtube.com/watch?v=07adjnRN_E4,low
RhCXrrOmgpY,PF266164,"국립창극단, 토선생, 용궁가다 [용인]",240710 토선생용궁가다 @음성 커튼콜 #소리꾼김준수,,"[('PF263228', '토선생 용궁가다'), ('PF243712', '토선생 용궁가다')]",https://www.youtube.com/watch?v=RhCXrrOmgpY,low
jPSfbkXpVMU,PF269537,"국립창극단, 토선생, 용궁가다","NTOK 청년기자단_ 국립창극단〈토선생, 용궁가다〉공연을 가다!","[('PF263228', '토선생 용궁가다'), ('PF243712', '토선생 용궁가다')]","[('PF263228', '토선생 용궁가다'), ('PF243712', '토선생 용궁가다')]",https://www.youtube.com/watch?v=jPSfbkXpVMU,high
