video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,date_signal,venue_signal,hashtag_categories,is_condensed_official,explicit_title_quote_match,signal_score,suggested_status,flag_reason
_iu41IKFgXg,260304 뮤지컬 홍련 커튼콜 - 김이후 이아름솔 이정수 김대현 정백선 - 담장 안 사람들(Curtain Call),충무아트센터 중극장 블랙 B구역 4열,UCGtjRDrXDI7vZyAkv2Js2Qg,동그리,2026-03-04T13:56:31Z,126,2.1,False,169,1,0,https://www.youtube.com/watch?v=_iu41IKFgXg,449,145,PF270834,"ASAC 우리 뮤지컬의 힘 11, 홍련 [안산]",뮤지컬,안산문화예술의전당 달맞이극장,2025-11-21,2025-11-22,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
VCdYK51p2gY,뮤지컬 홍련 스페셜 커튼콜 | 네 얘기의 결말 | 홍나현 이지연 | 240918 | 4K,"240918 낮 뮤지컬 홍련 스페셜 커튼콜 ""네 얘기의 결말""

홍련 | 홍나현
바리 | 이지연

#뮤지컬 #홍련 #홍나현",UCEjdtPNI1iNmK3_u7Xor7Dw,MintGray 민트그레이,2024-09-18T15:23:32Z,195,3.25,False,25001,339,3,https://www.youtube.com/watch?v=VCdYK51p2gY,5730,400,PF270834,"ASAC 우리 뮤지컬의 힘 11, 홍련 [안산]",뮤지컬,안산문화예술의전당 달맞이극장,2025-11-21,2025-11-22,,,,none,none,1,False,False,1,no_strong_signal,신호 없음
bR9a4JzySZU,뮤지컬 홍련 커튼콜 이아름솔 바리 초재연 비교,"뮤지컬 #홍련 커튼콜

(위) 240806 초연 (아래) 260304 재연

바리 役 #이아름솔",UCcd8RbdNkO4t715s0f7pGFQ,PINETREESOUND,2026-03-05T15:59:04Z,55,0.92,True,910,36,2,https://www.youtube.com/watch?v=bR9a4JzySZU,150,190,PF270834,"ASAC 우리 뮤지컬의 힘 11, 홍련 [안산]",뮤지컬,안산문화예술의전당 달맞이극장,2025-11-21,2025-11-22,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
SH8opvFQHjA,"241009 낮공 뮤지컬 홍련 커튼콜 (홍나현, 이지연 Focus)","241009 낮공 뮤지컬 홍련 커튼콜

홍련 役 홍나현 배우님 (Focus)
바리 役 이지연 배우님 (Focus)
강림 役 신창주 배우님
월직차사 役 김대현 배우님
일직차사 役 정백선 배우님

#뮤지컬 #홍련 #홍나현 #이지연 #신창주 #김대현 #정백선",UCzTILVOSfgIc14Ec9YJ8w4g,대학(로)생활,2024-10-09T06:51:09Z,124,2.07,False,141,4,0,https://www.youtube.com/watch?v=SH8opvFQHjA,79,204,PF270834,"ASAC 우리 뮤지컬의 힘 11, 홍련 [안산]",뮤지컬,안산문화예술의전당 달맞이극장,2025-11-21,2025-11-22,,,,none,none,1,False,False,1,no_strong_signal,신호 없음
cUtwA7pBayQ,260304 #뮤지컬  #홍련 #커튼콜 #김이후,,UClPMiML79p7b6Ppyml00cgA,weseethelight,2026-03-04T13:28:28Z,82,1.37,False,3114,103,3,https://www.youtube.com/watch?v=cUtwA7pBayQ,215,275,PF270834,"ASAC 우리 뮤지컬의 힘 11, 홍련 [안산]",뮤지컬,안산문화예술의전당 달맞이극장,2025-11-21,2025-11-22,,,,none,none,2,False,False,2,no_strong_signal,해시태그 2개 카테고리 일치
UmS7Ds8LbuA,20240811 홍련 | 커튼콜 | 홍련 #홍나현 focus,,UCXH2ma8R7dhguQ54fIlfKuA,사계절,2024-08-11T11:24:43Z,54,0.9,True,3806,153,2,https://www.youtube.com/watch?v=UmS7Ds8LbuA,21,236,PF270834,"ASAC 우리 뮤지컬의 힘 11, 홍련 [안산]",뮤지컬,안산문화예술의전당 달맞이극장,2025-11-21,2025-11-22,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
d_O1EqtRLDw,뮤지컬 [홍련] 커튼콜 | 김이후 이아름솔 신창주 김대현 신윤철_240811 | [4K],"[4K] 2024. 08. 11. 밤공 뮤지컬 [홍련] 커튼콜 (김이후, 이아름솔, 신창주, 김대현, 신윤철)",UCZLIoFvVn364KINLxswBVZw,H_hobby,2024-08-11T18:07:00Z,144,2.4,False,636,8,1,https://www.youtube.com/watch?v=d_O1EqtRLDw,60,238,PF270834,"ASAC 우리 뮤지컬의 힘 11, 홍련 [안산]",뮤지컬,안산문화예술의전당 달맞이극장,2025-11-21,2025-11-22,,,,none,none,0,False,True,2,no_strong_signal,작품명이 따옴표/괄호로 명시적으로 인용됨
TmKC4PckHeU,260305 뮤지컬 홍련 커튼콜: 강혜인(f) 이지연 신창주 김대현 신윤철,"너무 잘한다 🥲

#뮤지컬 #홍련 #커튼콜 #강혜인 #이지연 #신창주",UCsd-8m61G3P5MuCo49l84TA,Da ramzii,2026-03-05T13:11:52Z,176,2.93,False,1161,23,0,https://www.youtube.com/watch?v=TmKC4PckHeU,1970,1189,PF270834,"ASAC 우리 뮤지컬의 힘 11, 홍련 [안산]",뮤지컬,안산문화예술의전당 달맞이극장,2025-11-21,2025-11-22,,,,none,none,2,False,False,2,no_strong_signal,해시태그 2개 카테고리 일치
jbVE4fOqBeo,"[4K] 260510 뮤지컬 '홍련' 낮공 커튼콜 & 담장 안 사람들 | 홍나현(F), 이아름솔(F), 신창주, 김대현, 신윤철","2026 뮤지컬 '홍련' #커튼콜
26/05/10 P.M 2:00 충무아트센터 중극장 블랙

홍련 #홍나현
바리 #이아름솔
강림 #신창주
월직차사 #김대현
일직차사 #신윤철",UCdYJgTuqbceZ17eFAWU3khA,ONE SHORT DAY,2026-05-11T02:14:25Z,131,2.18,False,62,1,0,https://www.youtube.com/watch?v=jbVE4fOqBeo,398,603,PF270834,"ASAC 우리 뮤지컬의 힘 11, 홍련 [안산]",뮤지컬,안산문화예술의전당 달맞이극장,2025-11-21,2025-11-22,,,,none,none,1,False,True,3,verified_candidate,작품명이 따옴표/괄호로 명시적으로 인용됨
w1NEMFJ99tk,뮤지컬 홍련 스페셜 커튼콜 | 네 얘기의 결말 | 김이후 이지연 | 240919 | 4K,"240919 뮤지컬 홍련 스페셜 커튼콜 ""네 얘기의 결말""

홍련 | 김이후 F
바리 | 이지연

#뮤지컬 #홍련 #김이후",UCEjdtPNI1iNmK3_u7Xor7Dw,MintGray 민트그레이,2024-09-19T15:18:26Z,194,3.23,False,4080,66,0,https://www.youtube.com/watch?v=w1NEMFJ99tk,5730,400,PF270834,"ASAC 우리 뮤지컬의 힘 11, 홍련 [안산]",뮤지컬,안산문화예술의전당 달맞이극장,2025-11-21,2025-11-22,,,,none,none,1,False,False,1,no_strong_signal,신호 없음
